t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays
5000,754,6,1,39,1,2,7,7,1,0,2,2,299,9,30,2,13,0,3
10000,632,30,1,137,3,13,2.333,3,2,0.918,19,6,293,47,150,9,60,0,41
15000,365,99,2,334,10,40,2.4,5,5,2.046,79,11,287,147,426,24,176,0,140
20000,178,153,4,465,19,59,2.842,6,8,2.542,153,13,285,268,734,37,308,0,341
25000,92,181,2,525,16,77,3.063,5,10,3.156,214,14,291,377,999,43,412,0,557
30000,71,193,2,534,19,72,2.526,5,8,2.524,265,14,289,467,1203,55,503,0,774
35000,67,195,2,536,21,71,2.286,3,8,2.394,318,14,289,556,1429,64,579,0,1006
40000,62,211,4,523,15,70,2.333,4,6,1.872,354,16,292,641,1627,73,650,0,1220
45000,52,211,6,531,17,65,2.588,4,9,2.934,393,18,296,711,1782,78,716,0,1377
50000,55,220,6,519,10,63,2.6,4,6,2.446,422,18,294,779,1952,89,793,0,1570
55000,43,226,4,527,11,76,2.273,4,5,1.868,453,18,292,850,2096,96,851,0,1731
60000,60,210,3,527,14,65,2.571,4,7,2.611,491,18,296,922,2265,98,919,0,1922
65000,53,213,4,530,20,65,2.35,4,7,2.49,535,20,296,1013,2428,103,1001,0,2113
70000,65,210,6,519,15,67,2.533,4,8,2.606,574,21,296,1077,2585,108,1070,0,2302
75000,59,212,1,528,15,66,2.533,4,6,2.146,611,23,290,1152,2752,116,1145,0,2495
80000,77,201,2,520,15,66,2.667,4,10,3.19,652,24,291,1221,2921,122,1223,0,2704
85000,60,201,3,536,22,62,2.818,6,11,2.971,692,24,293,1305,3100,127,1305,0,2902
90000,62,205,4,529,18,66,2.778,7,8,2.705,738,25,291,1382,3275,132,1381,0,3100
95000,62,216,1,521,14,70,2.786,5,8,2.788,778,26,291,1462,3477,140,1456,0,3325
100000,56,203,5,536,18,61,2.556,5,9,2.753,816,28,291,1537,3641,145,1529,0,3506
105000,62,206,3,529,12,68,2.667,5,7,2.689,857,29,298,1606,3820,156,1601,0,3710
110000,56,209,4,531,13,68,2.615,4,8,2.719,893,31,294,1673,3982,159,1658,0,3880
115000,66,218,4,512,17,61,2.294,3,4,1.778,930,33,294,1743,4144,163,1710,0,4060
120000,77,215,2,506,8,56,2.625,3,6,2.5,963,34,297,1806,4286,168,1785,0,4230
125000,57,204,2,537,11,62,3.182,8,7,2.55,992,34,292,1866,4441,172,1834,0,4385
130000,53,200,5,542,13,63,2.615,5,7,2.565,1038,34,293,1933,4606,184,1899,0,4561
135000,66,200,1,533,19,57,2.789,8,9,2.629,1065,34,292,1995,4745,188,1953,0,4729
140000,72,209,2,517,9,59,3.222,5,7,2.725,1099,37,293,2063,4917,193,2028,0,4924
145000,44,207,1,548,12,63,2.667,5,7,2.626,1129,37,296,2128,5048,204,2107,0,5081
150000,37,221,4,538,11,66,2.545,4,6,2.413,1154,39,294,2199,5184,211,2175,0,5255
