t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,789,2,0,9,0,1,6,6,1,0,0,0,40,1,6,0,0,0,1,0
10000,776,7,2,15,0,3,4,5,3,1.585,2,2,38,5,26,0,0,0,8,0
15000,723,17,12,48,6,11,3.059,5,8,2.579,24,3,34,24,115,4,2,0,35,0
20000,626,44,24,106,14,26,2.8,5,12,2.995,78,6,30,68,291,10,15,0,92,0
25000,525,69,44,162,26,47,2.616,5,11,2.843,187,7,26,138,592,22,30,0,216,0
30000,412,93,58,237,45,63,2.546,5,14,2.842,330,9,24,236,998,33,57,0,403,0
35000,382,113,49,256,31,80,2.658,5,14,3.085,479,10,24,335,1430,51,80,0,633,0
40000,322,117,77,284,47,90,2.54,5,13,2.865,644,12,12,449,1906,63,95,0,876,0
45000,300,127,77,296,57,92,2.409,5,15,2.798,831,13,16,565,2404,81,115,0,1151,0
50000,341,110,78,271,65,82,2.327,5,12,2.4,1059,13,14,693,2968,91,134,0,1475,0
55000,353,114,78,255,55,80,2.393,5,12,2.554,1259,14,25,808,3470,108,162,0,1744,0
60000,374,107,69,250,46,75,2.545,5,15,2.843,1427,15,19,914,3914,119,185,0,1997,0
65000,345,110,71,274,51,77,2.523,6,18,2.962,1609,15,21,1031,4405,134,212,0,2253,0
70000,323,124,63,290,45,82,2.598,5,18,2.986,1780,15,20,1146,4872,147,240,0,2511,0
75000,323,131,48,298,35,88,2.577,5,16,3.034,1922,16,18,1261,5288,163,260,0,2748,0
80000,319,113,89,279,58,74,2.591,6,20,3.198,2113,18,21,1364,5788,182,280,0,3028,0
85000,294,129,68,309,52,85,2.599,5,18,3.212,2270,18,17,1476,6227,204,308,0,3270,0
90000,328,127,48,297,43,81,2.589,5,22,3.428,2429,19,17,1589,6662,224,320,0,3530,0
95000,291,137,59,313,44,85,2.667,5,20,3.337,2573,20,21,1690,7085,242,348,0,3757,0
100000,282,141,55,322,46,86,2.674,5,19,3.267,2714,23,23,1789,7486,257,363,0,3984,0
105000,280,136,81,303,50,89,2.54,5,19,3.213,2885,24,20,1892,7947,272,386,0,4254,0
110000,310,139,47,304,35,91,2.571,6,18,3.171,3028,24,19,1994,8343,285,408,0,4499,0
115000,323,123,67,287,43,76,2.765,6,25,3.589,3174,24,15,2089,8748,297,435,0,4739,0
120000,302,133,71,294,42,81,2.699,5,19,3.373,3313,25,22,2178,9171,308,456,0,4985,0
125000,281,127,62,330,48,93,2.546,5,19,3.152,3472,26,18,2287,9607,319,478,0,5245,0
130000,262,133,77,328,58,87,2.6,5,19,3.254,3633,28,21,2397,10049,335,507,0,5495,0
135000,285,137,67,311,47,91,2.58,5,19,3.166,3788,28,17,2502,10485,350,534,0,5760,0
140000,268,139,70,323,52,93,2.524,6,18,3.093,3951,28,18,2626,10951,371,559,0,6022,0
145000,287,135,73,305,50,91,2.525,6,20,3.106,4126,28,19,2735,11409,388,574,0,6283,0
150000,289,137,62,312,37,95,2.674,5,20,3.234,4289,30,25,2849,11871,407,597,0,6538,0
