t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,733,14,2,51,0,7,0,0,0,0,7,3,120,16,51,3,21,0,11,0
10000,544,59,15,182,7,29,3.857,6,6,2.522,44,7,108,63,227,11,105,0,77,0
15000,288,125,11,376,13,60,2.769,4,8,2.873,127,8,85,167,530,21,248,0,225,0
20000,103,160,22,515,35,81,2.771,7,14,3.433,227,10,58,281,834,34,409,0,461,0
25000,86,189,18,507,22,92,2.591,5,9,2.92,324,11,64,374,1093,42,522,0,733,0
30000,85,193,13,509,28,84,2.464,5,10,2.835,427,11,68,475,1343,57,627,0,993,0
35000,79,183,14,524,23,88,2.609,5,9,2.964,516,11,55,581,1594,64,744,0,1267,0
40000,85,188,18,509,15,91,2.933,6,9,2.866,604,13,58,663,1845,75,858,0,1547,0
45000,76,193,25,506,22,97,2.955,5,9,2.993,704,13,50,762,2099,87,974,0,1835,0
50000,71,197,19,513,29,94,2.345,4,8,2.32,797,15,44,854,2328,97,1079,0,2077,0
55000,81,194,15,510,25,92,2.76,4,12,3.269,887,16,43,937,2554,108,1200,0,2338,0
60000,87,198,15,500,25,92,2.56,4,10,2.725,988,16,57,1021,2807,120,1322,0,2619,0
65000,75,189,19,517,30,87,2.667,5,8,2.668,1078,16,51,1121,3070,134,1429,0,2881,0
70000,77,196,30,497,27,89,2.519,4,9,2.802,1173,17,45,1214,3297,140,1538,0,3134,0
75000,86,188,40,486,32,91,2.531,9,9,2.546,1268,18,53,1300,3523,148,1651,0,3400,0
80000,74,201,21,504,22,92,2.409,4,8,2.404,1358,18,54,1393,3749,160,1783,0,3646,0
85000,70,206,19,505,24,85,2.542,4,9,2.804,1442,18,55,1480,3953,170,1896,0,3881,0
90000,76,219,11,494,15,83,2.4,4,7,2.473,1515,18,65,1555,4152,178,1987,0,4106,0
95000,61,207,14,518,26,84,3.077,6,11,3.163,1591,18,62,1637,4355,185,2100,0,4348,0
100000,87,201,20,492,27,89,2.667,5,11,3.143,1680,19,60,1729,4600,196,2205,0,4637,0
105000,68,203,21,508,18,102,2.778,5,8,2.864,1773,21,62,1813,4822,214,2330,0,4888,0
110000,96,184,26,494,34,93,2.647,6,12,2.812,1881,23,49,1913,5070,225,2456,0,5187,0
115000,68,203,24,505,28,98,2.429,5,8,2.511,1978,23,54,2022,5313,237,2592,0,5447,0
120000,58,197,17,528,33,94,2.788,7,13,3.176,2077,24,51,2114,5533,250,2733,0,5702,0
125000,79,186,39,496,28,90,2.893,7,12,3.123,2188,24,51,2191,5766,257,2870,0,5979,0
130000,72,189,34,505,29,91,2.931,5,12,3.319,2300,25,34,2289,6026,264,3009,0,6272,0
135000,86,197,17,500,18,93,2.611,4,7,2.547,2378,25,44,2381,6239,272,3121,0,6520,0
140000,89,200,25,486,28,89,2.5,5,9,2.71,2483,27,51,2459,6457,284,3248,0,6786,0
145000,91,179,35,495,27,85,2.444,5,10,2.874,2584,27,50,2558,6708,291,3375,0,7063,0
150000,68,196,28,508,20,95,2.6,4,7,2.502,2666,27,54,2633,6946,301,3490,0,7315,0
