t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks
5000,753,7,2,38,2,3,2,2,1,0,6,3,295,43,39,2,18,0,14,0
10000,660,32,3,105,0,14,0,0,0,0,19,3,288,135,117,7,63,0,42,0
15000,449,81,21,249,6,35,2.5,4,5,2.252,62,5,272,345,313,14,168,0,121,0
20000,196,144,23,437,14,64,3.214,8,9,2.95,148,7,260,711,615,22,323,0,293,0
25000,96,182,10,512,11,88,3,5,8,2.845,223,8,271,1020,861,31,432,0,504,0
30000,86,183,9,522,18,86,2.944,7,10,2.933,305,9,270,1337,1112,44,537,0,771,0
35000,63,201,12,524,18,86,2.667,5,8,2.747,376,9,266,1618,1332,51,643,0,1012,0
40000,63,203,14,520,16,84,2.75,6,8,2.531,450,10,277,1880,1531,62,738,0,1234,0
45000,56,215,9,520,19,85,2.842,5,10,3.071,520,12,269,2156,1746,73,831,0,1470,0
50000,52,230,9,509,11,95,2.455,4,5,2.118,580,14,284,2384,1915,81,926,0,1678,0
55000,66,214,8,512,13,97,2.385,4,5,1.988,667,14,272,2653,2108,84,1017,0,1906,0
60000,61,210,11,518,15,93,2.4,4,8,2.606,758,14,276,2960,2328,92,1131,0,2148,0
65000,76,190,11,523,30,89,2.767,6,10,2.829,870,14,267,3310,2593,103,1239,0,2434,0
70000,67,187,17,529,37,92,2.811,5,15,3.337,984,14,262,3651,2855,109,1364,0,2715,0
75000,72,207,7,514,23,109,2.217,3,5,1.845,1087,15,270,3944,3090,114,1461,0,2968,0
80000,83,203,10,504,29,103,2.793,5,12,3.194,1186,16,273,4280,3350,117,1573,0,3247,0
85000,72,198,10,520,24,97,2.958,6,9,2.986,1318,16,269,4657,3626,132,1728,0,3536,0
90000,57,197,14,532,34,99,2.324,4,8,2.316,1447,16,261,5001,3883,145,1855,0,3812,0
95000,73,207,15,505,22,100,2.318,5,6,2.061,1530,17,270,5297,4112,149,1976,0,4080,0
100000,84,202,8,506,24,96,2.792,6,11,3.205,1649,17,258,5658,4369,159,2110,0,4367,0
105000,61,206,9,524,26,99,2.308,4,8,2.327,1759,17,266,6002,4608,170,2256,0,4639,0
110000,87,203,9,501,20,91,3,5,13,3.522,1844,18,271,6289,4845,182,2346,0,4884,0
115000,65,214,14,507,20,97,2.9,4,12,3.341,1942,20,266,6580,5080,196,2456,0,5126,0
120000,80,210,14,496,23,89,2.739,6,11,2.926,2017,22,285,6837,5256,203,2567,0,5351,0
125000,104,202,13,481,21,88,2.524,5,7,2.428,2119,22,265,7159,5494,210,2684,0,5625,0
130000,59,206,10,525,22,93,2.773,4,8,2.868,2208,23,272,7479,5737,218,2803,0,5863,0
135000,62,209,10,519,16,99,2.625,4,9,2.852,2302,23,281,7776,5977,226,2905,0,6118,0
140000,75,195,16,514,27,86,2.704,5,10,2.936,2412,24,268,8079,6199,236,3019,0,6370,0
145000,63,202,10,525,26,91,2.5,6,9,2.64,2512,24,270,8409,6452,249,3132,0,6640,0
150000,64,214,12,510,21,88,2.524,4,8,2.462,2594,24,265,8690,6666,257,3243,0,6881,0
