t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays
5000,759,6,14,21,0,3,0,0,0,0,2,1,36,17,25,2,19,0,9
10000,680,19,54,47,4,10,3,5,4,2,22,4,30,48,83,7,78,0,41
15000,548,35,117,100,16,19,3.625,7,11,3.25,61,7,20,128,202,14,208,0,139
20000,423,68,142,167,16,34,3.063,5,11,3.25,100,7,19,238,351,19,367,0,303
25000,267,99,202,232,19,51,3.211,9,12,3.321,146,8,16,357,517,30,558,0,479
30000,156,130,218,296,21,66,3.048,7,11,3.173,193,9,10,502,685,36,750,0,697
35000,119,131,220,330,31,70,3.323,16,14,3.134,261,11,12,669,860,45,948,0,975
40000,118,146,198,338,30,74,3.2,7,16,3.441,321,12,7,805,1040,55,1120,0,1271
45000,96,148,189,367,28,77,2.75,6,11,3.137,384,12,12,975,1226,62,1274,0,1525
50000,115,149,191,345,22,74,2.864,7,11,3.118,440,12,14,1115,1405,73,1429,0,1800
55000,106,136,205,353,44,71,2.886,6,17,3.679,514,13,9,1266,1594,76,1568,0,2061
60000,122,132,216,330,38,73,2.789,6,15,3.238,582,14,12,1407,1779,87,1738,0,2360
65000,125,136,223,316,36,71,2.778,6,14,3.266,657,16,9,1570,1986,99,1924,0,2668
70000,125,152,194,329,27,76,2.815,5,14,3.504,714,16,14,1726,2143,103,2083,0,2919
75000,114,165,192,329,20,78,2.85,7,12,3.139,772,17,13,1886,2343,109,2256,0,3203
80000,114,159,172,355,19,86,2.789,6,10,2.921,826,18,11,2040,2512,119,2405,0,3466
85000,126,146,185,343,34,80,2.588,5,12,3.071,892,19,16,2188,2690,126,2575,0,3757
90000,119,154,178,349,31,80,2.516,4,10,2.538,967,20,15,2357,2896,138,2754,0,4062
95000,108,150,200,342,40,75,3.125,8,19,3.683,1036,21,16,2505,3093,148,2944,0,4367
100000,123,141,214,322,30,81,2.967,7,15,3.428,1122,22,11,2665,3296,154,3127,0,4677
105000,129,136,225,310,31,73,3.065,7,14,3.486,1194,23,5,2819,3486,165,3333,0,4993
110000,135,142,215,308,37,72,2.73,6,14,3.378,1263,23,9,2966,3663,178,3522,0,5299
115000,129,135,213,323,27,79,2.926,7,12,3.334,1336,23,9,3139,3874,189,3701,0,5595
120000,117,155,198,330,21,78,3.048,7,12,3.291,1386,24,11,3287,4049,194,3874,0,5866
125000,121,159,187,333,28,74,2.714,6,13,3.02,1451,26,10,3432,4225,201,4046,0,6150
130000,90,151,202,357,32,77,2.563,5,11,2.645,1514,27,8,3589,4413,212,4219,0,6418
135000,112,155,187,346,19,81,3.105,5,13,3.577,1564,27,9,3726,4580,217,4366,0,6689
140000,115,147,196,342,24,72,2.917,4,15,3.653,1625,28,10,3869,4778,224,4534,0,6987
145000,115,140,207,338,35,72,3.143,6,18,3.851,1691,29,12,4016,4971,231,4696,0,7285
150000,107,123,232,338,41,72,3.268,8,20,3.864,1762,30,10,4172,5167,243,4862,0,7568
