seed,fold,attached,steps,bodyJostle,total,exact,other,firstExact,restrictedFirst,meanBend,faceOccupancy,supportOccupancy
3,30,false,20000,true,8,8,0,576,576,14.862268755552831,0.1700000000000004,0
3,0,true,20000,true,9,9,0,785,785,1.5319961873852537,0.14000000000000024,1
3,0,false,20000,true,9,9,0,306,306,4.491591452582265,0.1450000000000003,0
3,30,true,20000,true,10,10,0,1490,1490,2.097913432943293,0.1283333333333333,1
4,0,false,20000,true,10,10,0,1188,1188,3.8635208330529394,0.1316666666666669,0
4,30,false,20000,true,8,8,0,573,573,14.776223856001163,0.17999999999999994,0
4,0,true,20000,true,10,10,0,1212,1212,1.3022537170097013,0.10166666666666661,1
4,30,true,20000,true,10,10,0,1026,1026,2.2125065609979386,0.1475000000000003,1
5,0,false,20000,true,10,10,0,3522,3522,4.495905895443094,0.20333333333333325,0
5,0,true,20000,true,10,10,0,823,823,1.3578046117472231,0.1525000000000002,1
5,30,true,20000,true,9,9,0,336,336,2.0650342862054685,0.10666666666666674,1
5,30,false,20000,true,11,11,0,980,980,14.71868190722169,0.1691666666666668,0
6,0,false,20000,true,9,9,0,861,861,4.1220108839746805,0.12750000000000025,0
6,30,false,20000,true,9,9,0,1584,1584,14.945766896597709,0.15916666666666685,0
6,0,true,20000,true,10,10,0,872,872,1.6717442380828726,0.20083333333333372,1
6,30,true,20000,true,8,8,0,1229,1229,2.068693970947262,0.1233333333333335,1
7,0,false,20000,true,12,12,0,1835,1835,3.9036560770156554,0.1591666666666667,0
7,0,true,20000,true,10,10,0,2178,2178,1.2482370380362142,0.12833333333333344,1
7,30,false,20000,true,10,10,0,1640,1640,14.0372504085599,0.19499999999999965,0
7,30,true,20000,true,10,10,0,1227,1227,2.1781317119042622,0.15750000000000025,1
8,0,false,20000,true,10,10,0,690,690,4.156550659430216,0.12750000000000003,0
8,0,true,20000,true,10,10,0,1072,1072,1.3803491024613257,0.15166666666666662,1
8,30,false,20000,true,9,9,0,369,369,15.210713517943082,0.1616666666666667,0
8,30,true,20000,true,10,10,0,498,498,2.146358524393194,0.16000000000000023,1
9,0,false,20000,true,10,10,0,1017,1017,3.908300811416319,0.16083333333333336,0
9,30,false,20000,true,11,11,0,955,955,13.985196134830572,0.19249999999999978,0
9,0,true,20000,true,10,10,0,1298,1298,1.216907328617072,0.1341666666666668,1
9,30,true,20000,true,8,8,0,1095,1095,2.0152279627026637,0.1458333333333334,1
10,0,false,20000,true,10,10,0,1336,1336,3.9720548645208624,0.12833333333333338,0
10,0,true,20000,true,7,7,0,994,994,1.4494063172579486,0.1774999999999998,1
10,30,false,20000,true,10,10,0,1333,1333,14.149034364229315,0.16250000000000017,0
10,30,true,20000,true,9,9,0,999,999,2.2328077408123055,0.15500000000000033,1
