t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
5000,772,6,2,20,5,6,2,2,1,0,11,3,292,20,29,1,0,130,1,0,0,12,0,0,1,72,0,0,0,0,0,0
10000,686,31,3,80,10,31,2.024,3,4,1.028,82,7,279,159,218,5,1,183,21,0,5,46,0,0,6,66,0,4,0,0,0,0
15000,420,89,21,270,56,89,2.007,3,4,1.164,329,10,241,609,841,11,6,227,77,0,5,152,0,0,11,62,3,2,0,0,0,0
20000,337,113,16,334,60,113,2.017,3,4,1.12,642,13,243,1216,1669,25,9,251,191,0,7,343,0,0,13,62,3,0,0,0,0,0
25000,275,130,27,368,66,129,2.015,3,5,1.181,980,14,243,1841,2541,37,13,285,323,0,7,558,0,0,18,52,1,3,0,0,0,0
30000,265,133,22,380,66,133,2.015,3,5,1.2,1293,17,244,2430,3341,55,17,310,447,0,8,770,0,0,20,48,2,3,0,0,0,0
35000,299,126,14,361,62,124,2.016,3,4,1.413,1608,17,253,3045,4147,72,26,333,576,0,9,996,0,0,21,47,1,5,0,0,0,0
40000,302,116,28,354,74,116,2.005,3,4,1.423,1944,18,233,3677,5001,86,38,362,699,0,11,1238,0,0,22,47,2,7,0,0,0,0
45000,316,111,29,344,75,111,2.005,3,4,1.394,2273,21,237,4303,5844,98,43,387,838,0,12,1467,0,0,21,46,0,6,0,0,0,0
50000,301,125,9,365,62,124,2.011,3,4,1.286,2599,23,239,4944,6714,118,46,407,977,0,12,1670,0,0,23,45,0,5,0,0,0,0
55000,304,109,32,355,82,109,2.021,3,6,1.204,2933,23,226,5552,7571,131,54,436,1107,0,14,1899,0,0,22,45,0,5,0,0,0,0
60000,265,130,26,379,73,129,2.005,3,4,1.001,3263,26,250,6179,8427,145,58,467,1233,0,14,2127,0,0,23,41,1,6,0,0,0,0
65000,283,131,26,360,59,129,2.048,3,7,1.034,3601,27,237,6825,9309,160,70,491,1390,0,14,2345,0,0,28,35,2,2,0,0,0,0
