seed,fold,attached,steps,bodyJostle,total,exact,other,firstExact,restrictedFirst,meanBend,faceOccupancy,supportOccupancy
3,0,true,20000,false,7,7,0,5183,5183,4.956163421250394,0.12083333333333339,1
3,30,true,20000,false,7,7,0,1181,1181,5.1057858949001735,0.13083333333333358,1
3,0,false,20000,false,8,8,0,2170,2170,11.460328217312794,0.18166666666666662,0
3,30,false,20000,false,7,7,0,1484,1484,18.874253758968113,0.16666666666666663,0
4,0,false,20000,false,4,4,0,4053,4053,12.854928957340796,0.2033333333333335,0
4,30,false,20000,false,5,5,0,2505,2505,18.1912113102334,0.22499999999999973,0
4,0,true,20000,false,6,6,0,585,585,4.938642209497328,0.13666666666666683,1
4,30,true,20000,false,7,7,0,1381,1381,5.507785551610142,0.17333333333333323,1
5,0,false,20000,false,7,7,0,2931,2931,12.368943189650203,0.15333333333333335,0
5,0,true,20000,false,8,8,0,1317,1317,5.269622625217853,0.18166666666666667,1
5,30,false,20000,false,8,8,0,2532,2532,18.276158438913964,0.16666666666666688,0
5,30,true,20000,false,6,6,0,1265,1265,4.885331198447733,0.1450000000000002,1
6,0,false,20000,false,5,5,0,3672,3672,11.514566113986321,0.1533333333333336,0
6,30,false,20000,false,8,8,0,6129,6129,18.33309898298371,0.19166666666666654,0
6,30,true,20000,false,7,7,0,1490,1490,5.548477928717872,0.1766666666666666,1
6,0,true,20000,false,7,7,0,894,894,5.043072945841046,0.1750000000000001,1
7,0,false,20000,false,8,8,0,1864,1864,11.277831917319183,0.20583333333333306,0
7,30,false,20000,false,6,6,0,3614,3614,18.24610491567743,0.2141666666666669,0
7,0,true,20000,false,5,5,0,2231,2231,5.402871107449031,0.21000000000000024,1
7,30,true,20000,false,7,7,0,497,497,5.052719941655804,0.14083333333333353,1
8,0,false,20000,false,6,6,0,1429,1429,11.447255584143983,0.1425,0
8,0,true,20000,false,7,7,0,955,955,5.2239047021851555,0.18083333333333307,1
8,30,false,20000,false,8,8,0,1366,1366,18.272690630910645,0.1983333333333335,0
8,30,true,20000,false,7,7,0,2816,2816,5.764289723607017,0.2100000000000001,1
9,0,false,20000,false,8,8,0,3234,3234,12.449496609098002,0.19666666666666668,0
9,0,true,20000,false,5,5,0,3052,3052,5.017235871767039,0.1766666666666666,1
9,30,false,20000,false,7,7,0,2333,2333,19.959390620891412,0.15916666666666685,0
9,30,true,20000,false,5,5,0,2085,2085,5.531175336005111,0.17250000000000004,1
10,0,false,20000,false,7,7,0,2016,2016,12.107499982570069,0.14250000000000018,0
10,0,true,20000,false,6,6,0,1998,1998,5.897833289803483,0.21166666666666648,1
10,30,false,20000,false,8,8,0,1801,1801,18.244321990740264,0.1683333333333336,0
10,30,true,20000,false,6,6,0,686,686,4.794776604755649,0.13250000000000017,1
