t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
5000,782,5,1,12,1,4,2.4,4,2,0.722,5,2,288,13,21,1,0,133,2,0,0,10,1,0,1,77,0,0,0,0,1,0
10000,749,11,6,34,9,11,2,2,2,0.722,28,5,238,64,87,5,0,197,8,0,4,39,2,0,7,70,2,1,0,0,0,0
15000,560,55,60,125,37,55,2.011,3,4,0.622,171,8,39,267,445,9,2,243,41,0,5,100,6,0,12,62,1,1,0,0,1,0
20000,664,25,76,35,29,25,2.037,3,4,0.705,294,9,0,328,728,11,4,270,110,0,6,212,28,0,14,60,4,7,0,0,0,0
25000,754,4,37,5,17,4,2,2,3,0.893,330,9,0,328,793,13,7,303,143,0,7,264,28,0,20,49,6,6,0,0,0,0
30000,788,2,8,2,3,2,2,2,3,1.371,335,9,0,328,802,13,8,326,154,0,11,303,28,0,21,46,0,3,0,0,0,0
35000,792,0,8,0,4,0,2,2,2,1,335,9,0,328,802,13,8,346,156,0,15,328,28,0,22,47,4,5,0,0,0,0
40000,798,0,2,0,1,0,2,2,1,0,335,9,0,328,802,13,9,381,159,0,18,361,28,0,26,42,3,1,0,0,0,0
45000,798,0,2,0,1,0,2,2,1,0,335,9,0,328,802,13,9,406,160,0,20,382,28,0,26,38,0,9,0,0,0,0
50000,800,0,0,0,0,0,0,0,0,0,335,9,0,328,802,13,9,435,161,0,20,405,28,0,29,36,7,4,0,0,0,0
55000,796,0,4,0,2,0,2,2,2,1,335,9,0,328,802,13,9,450,162,0,24,428,28,0,25,37,7,1,0,0,0,0
60000,800,0,0,0,0,0,0,0,0,0,335,9,0,328,802,13,9,477,163,0,24,453,28,0,28,33,5,4,0,0,0,0
65000,796,0,4,0,2,0,2,2,2,1,335,9,0,328,802,13,9,503,164,0,28,472,28,0,30,31,4,2,0,0,0,0
70000,800,0,0,0,0,0,0,0,0,0,335,9,0,328,802,13,9,531,166,0,29,497,28,0,33,30,5,4,0,0,0,0
75000,795,0,5,0,2,0,2.5,3,2,1,335,9,0,328,802,13,10,553,166,0,31,522,28,0,31,29,4,7,0,0,0,0
80000,798,0,2,0,1,0,2,2,1,0,335,9,0,328,802,13,10,584,167,0,32,548,28,0,34,25,7,6,0,0,0,0
85000,796,0,4,0,2,0,2,2,2,1,335,9,0,328,802,13,10,601,168,0,34,569,28,0,33,24,5,4,0,0,0,0
90000,792,0,8,0,4,0,2,2,2,1,335,9,0,328,802,13,10,626,169,0,39,598,28,0,34,23,6,5,0,0,0,0
95000,796,0,4,0,2,0,2,2,1,0,335,9,0,328,802,13,10,659,172,0,45,632,28,0,35,22,4,6,0,0,0,0
100000,798,0,2,0,1,0,2,2,1,0,335,9,0,328,802,13,10,688,173,0,46,654,28,0,35,23,8,4,0,0,0,0
