t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
5000,733,16,8,43,9,15,2.083,4,3,1.196,35,5,244,67,93,3,1,0,8,0,8,15,11,0,0,0,0,0,0,0,1,0
10000,619,36,43,102,36,34,2.071,3,7,1.523,164,8,57,278,416,10,7,0,46,0,10,67,35,0,0,0,0,0,0,0,1,0
15000,640,21,95,44,48,21,2,2,3,1.234,295,9,0,350,713,19,9,0,99,0,12,154,50,0,0,0,0,0,0,0,0,0
20000,724,8,43,25,26,8,2,2,3,1.077,337,11,4,385,811,20,12,0,129,0,16,211,89,0,0,0,0,0,0,0,0,0
25000,745,3,46,6,23,3,2,2,3,0.845,359,11,1,388,862,21,13,0,149,0,24,230,89,0,0,0,0,0,0,0,0,0
30000,778,2,17,3,8,2,2,2,3,1.157,364,11,0,389,874,21,14,0,166,0,28,239,89,0,0,0,0,0,0,0,0,0
35000,790,0,10,0,5,0,2,2,2,0.722,366,11,0,389,878,21,15,0,171,0,32,246,89,0,0,0,0,0,0,0,0,0
40000,796,0,4,0,2,0,2,2,1,0,366,11,0,389,878,21,15,0,174,0,33,247,89,0,0,0,0,0,0,0,0,0
45000,798,0,2,0,1,0,2,2,1,0,366,11,0,389,878,21,15,0,177,0,36,248,89,0,0,0,0,0,0,0,0,0
50000,798,0,2,0,1,0,2,2,1,0,366,11,0,389,878,21,15,0,178,0,39,250,89,0,0,0,0,0,0,0,0,0
55000,798,0,2,0,1,0,2,2,1,0,366,11,0,389,878,21,15,0,181,0,44,252,89,0,0,0,0,0,0,0,0,0
60000,798,0,2,0,1,0,2,2,1,0,366,11,0,389,878,21,15,0,182,0,46,253,89,0,0,0,0,0,0,0,0,0
65000,798,0,2,0,1,0,2,2,1,0,366,11,0,389,878,21,16,0,183,0,48,255,89,0,0,0,0,0,0,0,0,0
70000,796,0,4,0,2,0,2,2,2,1,366,11,0,389,878,21,16,0,184,0,52,257,89,0,0,0,0,0,0,0,0,0
75000,800,0,0,0,0,0,0,0,0,0,366,11,0,389,878,21,16,0,185,0,52,258,89,0,0,0,0,0,0,0,0,0
80000,794,0,6,0,3,0,2,2,2,0.918,366,11,0,389,878,21,16,0,186,0,57,259,89,0,0,0,0,0,0,0,0,0
85000,798,0,2,0,1,0,2,2,1,0,366,11,0,389,878,21,16,0,190,0,61,261,89,0,0,0,0,0,0,0,0,0
90000,794,0,6,0,3,0,2,2,2,0.918,366,11,0,389,878,21,16,0,190,0,65,263,89,0,0,0,0,0,0,0,0,0
95000,798,0,2,0,1,0,2,2,1,0,366,11,0,389,878,21,16,0,193,0,68,265,89,0,0,0,0,0,0,0,0,0
100000,800,0,0,0,0,0,0,0,0,0,366,11,0,389,878,21,16,0,195,0,71,267,89,0,0,0,0,0,0,0,0,0
