t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs
10000,297,79,125,139,4,22,8.269,10,8,2.127,31,2,2,63,361,89,0,0,44,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,209,105,139,187,0,22,9.864,10,3,0.937,50,2,1,133,622,167,0,0,104,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,133,130,137,240,1,22,9.565,10,4,1.155,66,3,2,190,799,225,0,0,147,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,194,119,109,218,0,20,9.2,10,5,1.517,115,4,2,250,980,278,0,0,247,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,165,121,103,251,3,19,9,10,7,2.056,154,4,0,319,1153,335,0,0,318,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,136,130,111,263,0,23,10,10,2,0.988,187,4,0,384,1351,384,0,0,388,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,106,138,104,292,0,29,9.31,10,6,1.822,213,4,1,438,1504,436,0,0,437,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,113,133,100,294,2,27,8.759,10,8,2.054,235,4,2,478,1645,478,0,0,501,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,103,140,74,323,0,25,9.4,10,4,1.401,258,4,3,552,1789,518,0,0,554,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,105,156,61,318,2,22,8.667,10,6,1.916,276,4,1,608,1912,558,0,0,606,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
