t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs
10000,360,68,101,111,2,15,8.706,10,4,1.545,36,2,3,63,355,88,0,0,66,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,330,76,94,140,2,16,7.889,10,9,2.634,66,2,1,134,562,138,0,0,135,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,317,73,121,129,2,17,9,10,5,1.722,118,3,1,195,848,216,0,0,236,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,266,93,129,152,1,18,8.895,10,5,1.712,148,3,0,250,1088,278,0,0,298,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,172,120,146,202,1,18,9.579,10,3,1.245,162,4,0,308,1248,328,0,0,325,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,176,120,123,221,3,19,8.5,10,7,2.187,192,5,1,361,1399,379,0,0,392,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,120,143,123,254,1,20,9.333,10,4,1.452,212,5,3,429,1591,438,0,0,446,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,161,132,114,233,2,19,9.143,10,5,1.668,244,5,0,482,1747,482,0,0,537,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,133,141,123,243,1,24,9.48,10,4,1.371,279,5,0,544,1945,541,0,0,608,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,163,127,120,230,1,25,8.923,10,7,1.959,325,5,0,596,2130,591,0,0,697,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
