t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs
10000,308,77,104,151,2,16,8.278,10,7,2.217,27,3,1,77,357,97,0,0,42,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,329,73,100,138,3,17,8,10,8,2.464,74,3,1,128,580,157,0,0,142,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,306,82,104,148,2,22,7.75,10,9,2.599,112,3,2,195,790,220,0,0,211,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,235,95,132,178,1,21,9.318,10,6,1.859,147,4,1,274,1033,287,0,0,293,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,204,106,142,188,6,21,8.296,10,9,2.245,181,4,0,336,1266,367,0,0,380,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,175,113,146,206,1,23,9.583,10,5,1.604,216,4,0,393,1479,420,0,0,455,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,172,111,151,206,4,21,9.36,10,4,1.391,251,4,0,449,1688,481,0,0,531,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,131,135,127,247,3,23,9,10,7,1.959,267,5,0,511,1836,530,0,0,575,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,105,152,91,292,0,22,9.636,10,3,1.22,273,5,0,566,1949,565,0,0,603,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,101,150,67,322,3,22,8.92,10,6,1.906,294,5,4,623,2053,601,0,0,648,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
