t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs
10000,187,100,124,229,2,24,9.115,10,5,1.523,29,2,1,75,446,113,0,0,32,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,119,122,108,291,3,24,9.037,10,7,1.917,58,3,0,142,690,187,0,0,101,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,124,128,105,283,6,26,8.094,10,10,2.585,110,3,1,200,941,251,0,0,210,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,144,110,100,286,9,22,7.677,10,9,2.462,153,4,0,264,1148,316,0,0,300,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,95,144,80,321,2,23,9.32,10,5,1.594,174,4,1,320,1339,381,0,0,356,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,103,135,69,333,2,28,9.3,10,6,1.696,207,4,0,374,1473,416,0,0,416,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,114,131,59,336,2,24,9.038,10,6,1.773,229,4,3,423,1593,446,0,0,467,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,91,142,55,352,0,21,10,10,2,0.998,249,5,2,473,1726,494,0,0,514,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,73,153,25,389,1,19,9.6,10,3,1.219,255,5,1,528,1785,522,0,0,538,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,109,136,44,351,2,24,9,10,6,1.773,303,5,0,593,1967,579,0,0,620,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
