t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs
10000,252,79,175,134,7,25,8.313,10,8,1.99,36,2,2,76,406,110,0,0,38,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,222,89,171,158,8,22,8.033,10,9,2.191,61,3,0,136,611,167,0,0,96,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,190,112,156,182,1,23,10,10,2,0.811,81,3,2,199,772,211,0,0,141,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,189,109,133,209,0,26,8.885,10,7,1.85,106,3,0,278,941,262,0,0,205,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,197,100,157,186,1,26,9.111,10,7,1.892,147,4,0,330,1142,317,0,0,292,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,177,101,173,189,1,26,9.815,10,4,1.328,171,4,0,376,1315,367,0,0,357,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,166,111,170,193,5,24,9.448,10,4,1.316,196,4,1,432,1485,421,0,0,416,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,143,124,160,213,0,27,9.667,10,4,1.354,209,4,1,495,1628,460,0,0,451,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,150,126,137,227,2,23,9.2,10,6,1.76,223,4,1,549,1755,497,0,0,501,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,145,117,149,229,4,20,9.125,10,5,1.581,244,4,1,614,1934,548,0,0,565,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
