t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs
10000,200,111,107,222,1,27,9.393,10,6,1.573,40,2,1,64,462,109,0,0,42,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,140,128,103,269,2,26,8.821,10,8,2.13,72,3,1,129,706,188,0,0,117,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,130,127,89,294,1,24,9.44,10,6,1.76,109,3,1,193,935,258,0,0,204,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,97,148,65,330,1,25,8.5,10,8,2.094,132,3,3,248,1096,312,0,0,252,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,112,133,75,320,2,25,9.333,10,5,1.564,171,4,1,304,1303,366,0,0,333,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,87,150,52,351,1,25,9.308,10,5,1.573,199,5,1,374,1481,426,0,0,392,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,92,145,56,347,2,22,8.542,10,8,2.201,230,5,2,426,1629,480,0,0,459,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,90,152,56,342,2,25,9.111,10,6,1.724,267,5,0,483,1814,544,0,0,524,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,98,144,65,333,0,24,10,10,2,0.954,296,6,4,532,1973,591,0,0,588,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,94,147,54,345,1,25,9.077,10,7,1.959,326,7,3,590,2104,631,0,0,641,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
