t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs
10000,219,86,166,169,1,22,9.957,10,3,1.163,15,1,1,71,349,96,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,155,112,162,211,3,27,9.2,10,5,1.454,42,2,0,149,569,160,0,0,66,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,152,113,154,221,0,28,9.964,10,3,1.018,69,3,0,218,756,205,0,0,133,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,117,128,150,245,1,27,9.643,10,5,1.425,80,3,1,264,878,238,0,0,161,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,139,118,132,251,1,24,9.8,10,3,1.124,102,3,0,327,1020,279,0,0,220,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,128,117,152,243,2,24,9.346,10,5,1.573,127,3,1,381,1199,330,0,0,282,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,138,112,160,230,2,29,9.032,10,5,1.665,165,3,1,455,1418,395,0,0,365,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,174,113,152,201,1,25,9.654,10,4,1.349,199,4,0,519,1623,450,0,0,454,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,155,117,150,218,2,27,9.276,10,6,1.667,218,4,0,574,1772,483,0,0,501,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,168,113,148,211,7,26,8.182,10,9,2.301,250,4,0,630,1951,524,0,0,565,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
