t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs
10000,284,86,97,173,5,14,7.632,10,9,2.564,25,2,0,64,368,95,0,0,42,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,289,93,81,177,0,9,10,10,2,0.764,60,3,1,118,604,150,0,0,127,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,275,98,65,201,3,9,6.667,10,7,2.585,98,3,0,176,782,230,0,0,203,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,137,128,99,276,3,16,8.632,10,6,1.95,118,4,1,239,1004,301,0,0,245,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,111,149,65,315,2,21,9.304,10,4,1.389,160,4,1,301,1210,375,0,0,321,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,102,147,63,328,3,25,8.429,10,9,2.262,199,5,0,361,1372,430,0,0,389,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,122,130,106,282,3,25,8.571,10,8,2.047,257,5,1,415,1609,498,0,0,497,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,119,137,81,303,2,23,9.2,10,6,1.782,295,5,0,477,1803,565,0,0,576,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,128,134,72,306,2,26,7.964,10,10,2.531,334,6,1,531,2002,616,0,0,659,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,106,132,67,335,5,25,8.933,10,5,1.618,376,6,2,591,2202,686,0,0,727,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
