t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs
10000,260,74,170,136,4,21,9.2,10,5,1.514,35,2,0,71,444,103,0,0,47,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,240,90,143,167,4,23,8.926,10,7,1.81,63,3,2,151,652,157,0,0,115,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,209,88,188,155,4,24,9.036,10,6,1.573,96,3,0,208,895,218,0,0,190,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,147,101,193,199,4,27,9.903,10,3,1.123,120,3,0,273,1080,268,0,0,233,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,209,101,147,183,4,24,8.643,10,8,2.089,150,3,2,346,1270,313,0,0,324,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,209,104,137,190,2,23,8.56,10,9,2.355,167,3,1,397,1418,354,0,0,375,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,220,99,154,167,1,23,9.5,10,4,1.408,201,3,2,448,1614,407,0,0,450,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,207,104,153,176,2,20,9.818,10,3,1.22,229,4,0,505,1819,461,0,0,523,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,121,120,178,221,1,27,9.643,10,5,1.553,239,4,4,565,1961,504,0,0,548,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,148,116,154,222,5,25,8.9,10,6,1.795,268,4,0,641,2124,548,0,0,625,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
