t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged
5000,789,3,0,8,0,1,6,6,1,0,0,0,300,3,6,0,0,0,1,0,0,0,0
10000,785,4,0,11,0,2,5.5,6,2,1,1,1,299,8,12,0,0,0,3,0,0,0,0
15000,771,8,0,21,0,3,5.333,6,3,1.585,2,2,298,20,27,0,1,0,5,0,0,0,0
20000,710,22,1,67,1,10,5.091,6,6,2.222,10,5,295,69,91,2,1,0,8,0,0,0,0
25000,598,49,3,150,1,27,4.393,7,13,3.482,27,6,284,174,222,5,6,0,31,0,0,0,0
30000,410,89,8,293,22,51,3.479,7,19,3.835,78,9,270,366,460,14,10,0,77,0,0,0,0
35000,157,170,6,467,35,111,2.897,6,23,3.395,177,11,267,636,821,24,17,0,152,0,0,0,0
40000,69,217,7,507,27,140,2.784,6,22,3.315,248,11,287,824,1082,37,26,0,254,0,0,0,0
45000,68,194,9,529,51,126,2.757,6,23,3.324,317,12,283,1001,1268,46,31,0,355,0,0,0,0
50000,63,205,2,530,38,135,2.798,6,23,3.472,371,12,282,1154,1459,57,32,0,450,0,0,0,0
55000,61,209,2,528,47,131,2.713,6,22,3.424,424,12,280,1292,1621,65,37,0,544,0,0,0,0
60000,67,222,10,501,31,140,2.743,6,21,3.27,473,13,286,1421,1793,71,42,0,644,0,0,0,0
65000,73,219,5,503,29,140,2.746,6,21,3.203,525,13,283,1575,1963,76,51,0,745,0,0,0,0
70000,86,214,2,498,38,129,2.76,6,22,3.252,583,14,284,1733,2142,84,55,0,847,0,0,0,0
75000,87,208,3,502,45,132,2.644,6,22,3.166,642,14,281,1888,2313,91,57,0,952,0,0,0,0
80000,84,215,7,494,34,142,2.597,5,20,2.948,709,14,284,2048,2513,97,61,0,1052,0,0,0,0
85000,78,211,8,503,45,142,2.54,5,18,2.885,791,15,283,2245,2737,102,63,0,1171,0,0,0,0
90000,76,219,6,499,37,155,2.464,5,18,2.804,874,16,286,2438,2977,111,66,0,1293,0,0,0,0
95000,73,199,6,522,54,144,2.52,5,18,2.966,957,17,282,2641,3199,121,71,0,1398,0,0,0,0
100000,89,196,6,509,53,139,2.542,6,19,3.077,1037,18,274,2836,3432,127,78,0,1523,0,0,0,0
