t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged
5000,789,3,0,8,0,1,5,5,1,0,0,0,299,3,6,0,0,0,1,0,0,0,2
10000,782,4,0,14,0,2,5.5,6,2,1,1,1,294,10,14,0,0,0,2,0,0,0,4
15000,734,16,3,47,0,8,4.75,6,4,1.811,7,3,270,47,66,5,1,0,6,0,0,0,17
20000,628,41,6,125,8,26,3.235,8,12,2.975,33,6,222,138,180,10,10,0,20,0,0,0,60
25000,450,87,16,247,28,63,2.615,8,17,2.643,114,9,124,321,436,20,13,0,65,0,0,0,145
30000,217,155,40,388,47,113,2.487,8,21,2.788,245,9,74,596,837,35,26,0,153,0,0,0,370
35000,105,188,21,486,51,144,2.426,8,21,2.629,365,10,102,882,1178,51,34,0,267,0,0,0,684
40000,79,202,19,500,53,151,2.402,8,20,2.716,459,12,151,1095,1451,61,37,0,388,0,0,0,946
45000,76,186,14,524,69,141,2.424,7,21,2.705,563,12,174,1333,1719,68,40,0,512,0,0,0,1207
50000,101,188,10,501,60,137,2.452,7,18,2.758,661,12,172,1553,1991,73,47,0,654,0,0,0,1425
55000,98,193,5,504,50,143,2.482,7,19,2.867,761,13,200,1785,2281,88,50,0,788,0,0,0,1685
60000,92,193,9,506,56,140,2.459,7,20,2.844,855,14,222,1989,2536,96,53,0,909,0,0,0,1911
65000,81,205,11,503,46,149,2.462,7,19,2.768,935,14,234,2179,2778,105,58,0,1024,0,0,0,2113
70000,91,202,7,500,50,144,2.464,7,21,2.728,1017,14,226,2361,2997,114,61,0,1133,0,0,0,2287
75000,80,208,5,507,51,146,2.442,6,19,2.705,1096,14,226,2548,3219,123,67,0,1239,0,0,0,2474
80000,82,200,7,511,60,145,2.371,6,18,2.568,1187,15,224,2754,3455,134,71,0,1362,0,0,0,2678
85000,75,192,11,522,68,145,2.352,6,19,2.462,1293,16,206,2976,3728,140,73,0,1490,0,0,0,2882
90000,93,198,6,503,57,145,2.361,5,16,2.564,1391,16,209,3190,3996,147,77,0,1624,0,0,0,3099
95000,109,197,7,487,55,142,2.355,6,16,2.448,1485,17,205,3384,4248,158,81,0,1747,0,0,0,3289
100000,75,213,8,504,50,155,2.38,8,16,2.416,1575,17,201,3579,4496,163,91,0,1855,0,0,0,3480
