t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts
20000,145,2,22,31,9,2,4.273,6,6,2.482,19,3,1,48,1466,7,1,0,16,45,0,1365,1,0,28,0,0,0,0,0,0,0,1,0,0,0,0,0
40000,142,3,11,44,11,2,4,6,8,2.777,39,4,3,94,3562,12,1,0,41,95,0,3384,2,0,68,0,0,0,0,0,0,0,3,0,0,0,0,0
60000,58,11,4,127,19,10,4,6,7,2.612,77,7,6,249,7084,19,1,0,71,150,0,6736,2,0,216,0,0,0,0,0,0,0,9,0,0,0,0,0
80000,52,7,7,134,25,7,4.25,6,9,2.738,101,8,6,348,10523,27,1,0,102,211,0,10077,2,0,312,0,0,0,0,0,0,0,10,0,0,0,0,0
100000,73,9,6,112,20,8,4.036,6,8,2.785,123,8,9,441,14476,44,2,0,134,294,0,13933,2,0,400,0,0,0,0,0,0,0,8,0,0,0,0,0
120000,55,7,9,129,28,7,3.714,6,9,2.917,151,8,7,544,18584,61,2,0,162,354,0,17935,3,0,498,0,0,0,0,0,0,0,13,0,0,0,0,0
140000,52,6,1,141,33,5,3.684,6,9,2.835,180,10,10,654,22148,70,3,0,196,421,0,21394,3,0,611,0,0,0,0,0,0,0,19,0,0,0,0,0
160000,84,1,1,114,37,1,3.026,6,9,2.738,215,10,11,754,26412,85,4,0,237,513,0,25558,3,0,710,0,0,0,0,0,0,0,14,0,0,0,0,0
180000,44,8,6,142,36,7,3.256,6,7,2.4,264,11,10,907,30864,100,5,0,283,605,0,29832,3,0,862,0,0,0,0,0,0,0,17,0,0,0,0,0
200000,57,8,3,132,35,6,2.976,6,6,2.072,303,15,10,1032,35140,110,6,0,333,694,0,33979,3,0,981,0,0,0,0,0,0,0,19,0,0,0,0,0
220000,64,6,2,128,34,5,3.205,6,7,2.327,340,15,12,1152,38947,122,7,0,377,778,0,37662,3,0,1102,0,0,0,0,0,0,0,25,0,0,0,0,0
240000,58,11,4,127,24,9,3.667,6,8,2.687,374,16,12,1288,42816,132,9,0,430,867,0,41385,3,0,1238,0,0,0,0,0,0,0,25,0,0,0,0,0
260000,49,10,3,138,29,7,3.694,6,7,2.599,401,16,10,1400,46350,140,10,0,464,934,0,44811,4,0,1347,0,0,0,0,0,0,0,24,0,0,0,0,0
280000,43,8,5,144,27,7,4.088,6,10,2.946,435,17,9,1529,50161,152,11,0,508,1023,0,48485,5,0,1473,0,0,0,0,0,0,0,22,0,0,0,0,0
300000,55,6,7,132,28,6,3.765,6,10,3.053,463,17,12,1636,53578,159,12,0,548,1105,0,51793,6,0,1582,0,0,0,0,0,0,0,22,0,0,0,0,0
320000,34,9,3,154,35,7,3.5,6,13,3.426,494,18,10,1759,57455,169,13,0,582,1173,0,55548,6,0,1699,0,0,0,0,0,0,0,21,0,0,0,0,0
340000,51,8,2,139,31,6,3.622,6,13,3.352,524,18,12,1864,60812,180,14,0,626,1253,0,58795,6,0,1804,0,0,0,0,0,0,0,21,0,0,0,0,0
360000,76,3,1,120,31,3,3.529,6,9,2.904,560,18,11,1990,64871,186,16,0,674,1350,0,62736,6,0,1929,0,0,0,0,0,0,0,19,0,0,0,0,0
380000,80,6,3,111,30,5,3.086,6,8,2.599,603,20,8,2118,69479,200,16,0,722,1445,0,67205,7,0,2049,0,0,0,0,0,0,0,14,0,0,0,0,0
400000,52,10,10,128,22,9,3.903,6,8,2.516,633,21,10,2238,73444,207,17,0,758,1516,0,71033,7,0,2164,0,0,0,0,0,0,0,18,0,0,0,0,0
420000,57,3,2,138,34,3,3.676,6,7,2.369,668,22,7,2374,76677,213,17,0,796,1606,0,74141,7,0,2293,0,0,0,0,0,0,0,16,0,0,0,0,0
440000,64,4,6,126,28,4,3.875,7,10,2.948,698,22,10,2500,80508,215,18,0,840,1705,0,77835,7,0,2419,0,0,0,0,0,0,0,12,0,0,0,0,0
460000,58,7,3,132,24,6,4.167,7,9,2.891,728,24,10,2636,83995,219,20,0,882,1798,0,81182,7,0,2550,0,0,0,0,0,0,0,15,0,0,0,0,0
480000,70,5,0,125,21,5,4.423,6,9,2.654,752,24,12,2754,87927,226,22,0,918,1891,0,84998,7,0,2670,0,0,0,0,0,0,0,15,0,0,0,0,0
500000,57,5,3,135,27,5,4,6,9,2.885,781,27,10,2874,90688,236,22,0,952,1969,0,87632,7,0,2785,0,0,0,0,0,0,0,16,0,0,0,0,0
520000,55,8,4,133,24,7,4,6,10,3.137,809,27,9,2986,94132,242,23,0,990,2048,0,90957,7,0,2895,0,0,0,0,0,0,0,16,0,0,0,0,0
540000,52,6,6,136,27,6,4.152,6,8,2.74,842,29,9,3117,97786,250,25,0,1030,2145,0,94473,7,0,3024,0,0,0,0,0,0,0,18,0,0,0,0,0
560000,45,9,1,145,27,8,3.914,6,9,2.758,871,29,10,3244,100905,252,25,0,1068,2227,0,97464,7,0,3151,0,0,0,0,0,0,0,21,0,0,0,0,0
580000,43,6,0,151,33,6,3.718,6,10,2.761,904,29,10,3370,104555,266,27,0,1105,2312,0,100992,8,0,3277,0,0,0,0,0,0,0,23,0,0,0,0,0
600000,55,4,0,141,32,4,3.833,6,9,2.611,933,29,12,3481,108484,277,27,0,1142,2398,0,104810,8,0,3389,0,0,0,0,0,0,0,26,0,0,0,0,0
620000,66,5,5,124,27,5,3.844,8,10,3.108,963,29,11,3585,112395,282,28,0,1184,2484,0,108602,8,0,3491,0,0,0,0,0,0,0,21,0,0,0,0,0
640000,53,5,3,139,36,4,3.5,6,9,2.898,1002,29,10,3723,116477,289,28,0,1228,2565,0,112544,8,0,3628,0,0,0,0,0,0,0,20,0,0,0,0,0
660000,64,3,8,125,42,2,2.955,5,9,2.718,1044,29,10,3851,120468,298,29,0,1283,2659,0,116398,8,0,3751,0,0,0,0,0,0,0,12,0,0,0,0,0
680000,66,5,2,127,38,5,2.907,5,10,2.755,1094,30,8,3999,125025,309,30,0,1339,2753,0,120806,8,0,3896,0,0,0,0,0,0,0,18,0,0,0,0,0
700000,84,7,9,100,26,6,3.188,5,7,2.259,1139,30,7,4141,129399,323,33,0,1402,2860,0,125031,8,0,4035,0,0,0,0,0,0,0,16,0,0,0,0,0
720000,73,3,1,123,33,3,3.333,6,6,2.133,1178,31,11,4280,133824,338,35,0,1439,2945,0,129325,8,0,4174,0,0,0,0,0,0,0,24,0,0,0,0,0
740000,64,5,3,128,34,5,3.205,6,6,2.109,1223,33,11,4427,137859,353,36,0,1485,3041,0,133209,8,0,4316,0,0,0,0,0,0,0,23,0,0,0,0,0
760000,60,6,3,131,32,6,3.342,7,9,2.52,1261,33,12,4559,141761,362,38,0,1534,3122,0,136976,8,0,4448,0,0,0,0,0,0,0,17,0,0,0,0,0
780000,70,4,2,124,27,4,3.774,7,10,2.969,1289,34,12,4666,146008,375,40,0,1573,3198,0,141117,8,0,4553,0,0,0,0,0,0,0,17,0,0,0,0,0
800000,74,7,9,110,28,6,3.294,7,11,3.119,1327,34,10,4771,150199,380,41,0,1614,3281,0,145187,8,0,4655,0,0,0,0,0,0,0,8,0,0,0,0,0
