t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts
20000,126,6,3,65,10,3,4.231,8,5,2.134,21,4,37,105,1864,3,2,0,15,38,0,1751,1,0,94,0,0,0,0,0,0,0,13,0,0,0,0,0
40000,51,12,1,136,17,10,4.222,8,10,2.784,47,7,39,246,5150,13,4,0,39,85,0,4892,1,0,237,0,0,0,0,0,0,0,27,0,0,0,0,0
60000,61,8,3,128,14,8,5,8,9,2.959,72,8,37,366,8434,24,5,0,76,176,0,8059,1,0,355,0,0,0,0,0,0,0,16,0,0,0,0,0
80000,67,8,1,124,16,7,4.696,8,12,3.414,97,9,39,495,11629,34,6,0,109,276,0,11128,1,0,485,0,0,0,0,0,0,0,17,0,0,0,0,0
100000,70,6,0,124,18,5,5.087,8,10,3.132,119,10,39,602,14716,45,7,0,137,354,0,14112,1,0,591,0,0,0,0,0,0,0,17,0,0,0,0,0
120000,72,7,0,121,21,6,4.481,8,11,3.232,146,12,37,730,17896,49,7,0,171,450,0,17162,1,0,716,0,0,0,0,0,0,0,13,0,0,0,0,0
140000,44,9,1,146,24,8,4.125,7,14,3.503,171,13,39,863,21131,56,8,0,204,526,0,20260,1,0,850,0,0,0,0,0,0,0,12,0,0,0,0,0
160000,41,8,2,149,27,8,4.029,7,13,3.514,203,14,40,997,24724,62,10,0,248,613,0,23716,1,0,983,0,0,0,0,0,0,0,14,0,0,0,0,0
180000,40,9,2,149,28,7,3.943,7,12,3.307,233,15,39,1121,28111,77,10,0,289,697,0,26975,1,0,1104,0,0,0,0,0,0,0,16,0,0,0,0,0
200000,54,7,3,136,25,7,4,8,12,3.202,262,15,32,1240,31693,87,11,0,330,788,0,30440,1,0,1215,0,0,0,0,0,0,0,12,0,0,0,0,0
220000,62,11,1,126,16,8,4.667,8,12,3.288,290,15,38,1362,35229,97,14,0,377,874,0,33849,1,0,1341,0,0,0,0,0,0,0,14,0,0,0,0,0
240000,48,7,0,145,20,7,4.815,8,13,3.454,313,15,38,1492,37906,104,14,0,411,951,0,36400,1,0,1466,0,0,0,0,0,0,0,18,0,0,0,0,0
260000,71,6,3,120,20,4,4.667,9,12,3.407,342,15,40,1621,41545,108,16,0,456,1060,0,39910,1,0,1595,0,0,0,0,0,0,0,18,0,0,0,0,0
280000,49,15,0,136,22,10,3.813,8,12,3.23,376,15,36,1765,45121,114,17,0,493,1152,0,43334,1,0,1729,0,0,0,0,0,0,0,18,0,0,0,0,0
300000,50,10,1,139,28,7,3.771,7,11,3.26,406,16,39,1891,48530,121,17,0,530,1236,0,46620,1,0,1853,0,0,0,0,0,0,0,19,0,0,0,0,0
320000,31,8,2,159,31,7,3.895,7,13,3.146,432,18,38,2011,51375,127,18,0,562,1304,0,49347,1,0,1971,0,0,0,0,0,0,0,18,0,0,0,0,0
340000,64,7,3,126,24,7,3.903,7,11,3.244,463,18,37,2131,55060,142,19,0,609,1411,0,52910,1,0,2088,0,0,0,0,0,0,0,13,0,0,0,0,0
360000,76,5,0,119,28,4,3.656,7,9,2.949,501,20,39,2278,59006,150,19,0,658,1517,0,56713,1,0,2234,0,0,0,0,0,0,0,15,0,0,0,0,0
380000,60,9,0,131,24,8,3.719,7,9,2.952,541,21,36,2439,62834,154,19,0,711,1613,0,60375,1,0,2390,0,0,0,0,0,0,0,18,0,0,0,0,0
400000,62,11,2,125,19,9,4.071,7,10,2.977,567,21,36,2566,66421,165,20,0,758,1699,0,63832,1,0,2514,0,0,0,0,0,0,0,17,0,0,0,0,0
420000,61,10,0,129,13,9,4.727,7,10,2.993,590,21,39,2684,69797,174,22,0,793,1779,0,67094,1,0,2635,0,0,0,0,0,0,0,15,0,0,0,0,0
440000,48,5,0,147,26,5,4.323,7,10,3.033,614,22,40,2788,72643,184,22,0,818,1841,0,69840,1,0,2737,0,0,0,0,0,0,0,21,0,0,0,0,0
460000,49,9,0,142,32,7,3.487,7,16,3.46,647,25,37,2906,76273,192,23,0,853,1930,0,73348,1,0,2852,0,0,0,0,0,0,0,9,0,0,0,0,0
480000,55,5,2,138,29,5,3.941,7,14,3.621,675,25,40,3022,79351,202,23,0,893,2010,0,76314,2,0,2969,0,0,0,0,0,0,0,9,0,0,0,0,0
500000,70,8,3,119,18,7,4.4,7,12,3.463,702,25,36,3144,83166,208,24,0,942,2102,0,80002,2,0,3085,0,0,0,0,0,0,0,13,0,0,0,0,0
520000,64,7,1,128,25,6,3.935,7,11,3.297,735,25,40,3271,87015,220,25,0,977,2184,0,83728,2,0,3211,0,0,0,0,0,0,0,14,0,0,0,0,0
540000,63,5,0,132,26,5,3.935,7,11,3.086,770,25,39,3422,90654,230,26,0,1025,2284,0,87218,2,0,3360,0,0,0,0,0,0,0,18,0,0,0,0,0
560000,58,14,0,128,18,11,4,7,10,3.152,798,25,40,3546,94028,239,27,0,1068,2368,0,90458,2,0,3482,0,0,0,0,0,0,0,20,0,0,0,0,0
580000,69,7,1,123,28,7,3.314,7,11,2.935,847,28,36,3721,98095,246,28,0,1126,2494,0,94353,2,0,3651,0,0,0,0,0,0,0,15,0,0,0,0,0
600000,63,7,1,129,30,5,3.543,7,13,3.329,884,28,36,3855,102277,253,30,0,1170,2580,0,98399,3,0,3780,0,0,0,0,0,0,0,18,0,0,0,0,0
620000,55,8,5,132,24,7,4.129,7,10,3.124,914,28,36,3984,105886,260,30,0,1214,2662,0,101872,3,0,3907,0,0,0,0,0,0,0,15,0,0,0,0,0
640000,58,7,1,134,25,6,4.032,7,11,3.136,944,29,36,4121,109453,264,30,0,1247,2764,0,105307,3,0,4043,0,0,0,0,0,0,0,21,0,0,0,0,0
660000,37,8,2,153,26,8,4.059,7,11,3.149,974,30,38,4262,112913,275,30,0,1286,2847,0,108623,3,0,4184,0,0,0,0,0,0,0,21,0,0,0,0,0
680000,73,9,3,115,19,7,4.115,7,11,2.793,997,31,36,4367,116164,283,31,0,1328,2948,0,111768,3,0,4286,0,0,0,0,0,0,0,19,0,0,0,0,0
700000,64,4,1,131,29,4,3.818,7,11,2.777,1032,33,39,4512,120174,292,32,0,1371,3032,0,115640,3,0,4433,0,0,0,0,0,0,0,21,0,0,0,0,0
720000,71,6,1,122,28,5,3.515,7,10,2.993,1062,34,39,4648,123545,303,35,0,1414,3134,0,118873,3,0,4568,0,0,0,0,0,0,0,18,0,0,0,0,0
740000,64,10,1,125,18,10,3.964,7,12,3.366,1088,35,38,4765,127396,314,35,0,1454,3207,0,122603,3,0,4680,0,0,0,0,0,0,0,14,0,0,0,0,0
760000,77,2,0,121,25,2,4.296,7,12,3.338,1117,35,38,4896,131052,322,38,0,1493,3303,0,126140,3,0,4809,0,0,0,0,0,0,0,13,0,0,0,0,0
