t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged
5000,800,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0
10000,758,10,2,30,6,10,2,2,1,0,16,4,282,30,40,1,0,0,0,0,1,0,0
15000,510,71,10,209,39,70,2.009,3,3,0.76,147,9,258,282,381,7,5,0,40,0,1,0,0
20000,184,146,18,452,87,144,2.035,3,7,1.121,377,12,244,730,969,13,14,0,149,0,1,0,0
25000,97,169,7,527,98,163,2.034,3,7,1.037,565,13,263,1114,1445,23,26,0,315,0,1,0,0
30000,80,184,8,528,83,176,2.054,3,8,1.132,718,14,271,1421,1845,29,32,0,472,0,1,0,0
35000,107,191,5,497,62,180,2.062,3,8,1.212,862,14,275,1710,2220,37,39,0,639,0,1,0,0
40000,119,181,8,492,71,170,2.066,3,8,1.046,1011,15,268,2004,2593,38,45,0,795,0,1,0,0
45000,107,190,16,487,65,175,2.087,3,9,1.178,1154,16,279,2291,2979,46,52,0,947,0,1,0,0
50000,93,175,13,519,87,164,2.108,4,9,1.201,1312,17,268,2619,3372,51,58,0,1101,0,1,0,0
