t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
10000,884,8,3,105,1,8,6,6,2,0.764,6,2,95,48,1419,8,0,0,4,20,0,1744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,715,21,4,260,1,18,5.684,6,5,1.466,20,3,94,146,3582,29,0,0,11,33,0,4543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,617,16,0,367,4,29,4.97,6,8,2.299,49,4,95,284,6676,74,0,0,42,121,0,8597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,516,28,1,455,2,32,5.029,6,8,2.379,63,4,95,372,9198,123,0,0,71,175,0,12168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,516,23,1,460,5,30,4.6,6,12,2.956,78,5,95,451,11831,176,0,0,103,266,0,15726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,515,19,2,464,7,30,4.811,6,12,3.144,99,6,92,552,14712,246,0,0,149,374,0,19800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,497,23,4,476,4,29,4.576,6,15,3.386,121,6,93,657,17740,310,0,0,194,489,0,23849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,528,21,1,450,6,25,4.742,6,16,3.534,145,6,97,763,20928,365,0,0,246,613,0,28140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,476,26,2,496,6,35,4.39,6,15,3.597,164,6,95,854,24150,417,0,0,290,701,0,32588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,505,23,2,470,8,31,4.154,6,19,3.953,192,6,94,971,27493,480,0,0,351,831,0,36926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
