t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
10000,884,8,3,105,1,8,6,6,2,0.764,6,2,95,48,1419,8,0,0,4,20,0,1744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,771,18,1,210,3,14,5.412,6,7,2.174,18,3,99,127,3277,25,0,0,16,46,0,4193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,592,29,4,375,10,23,4.606,6,13,3.227,49,4,96,283,6070,51,0,0,40,99,0,8283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,530,31,3,436,8,26,4.382,6,13,3.183,70,5,94,390,9626,101,0,0,78,170,0,12975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,480,32,0,488,7,33,4.475,6,15,3.397,98,6,94,521,13196,156,0,0,124,266,0,17672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,422,21,4,553,13,39,4.481,6,24,3.999,129,6,90,653,17598,208,0,0,171,340,0,22904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,453,20,2,525,10,33,4.512,6,21,3.938,156,6,97,781,22531,263,0,0,229,478,0,28808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,441,19,3,537,16,35,4.353,6,19,3.835,197,7,94,969,27953,324,0,0,287,616,0,35366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,404,36,12,548,11,35,4.217,6,18,3.549,237,7,92,1126,33250,381,0,0,349,742,0,41858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,324,24,1,651,24,40,3.813,6,23,3.503,286,7,90,1319,39164,429,0,0,409,840,0,49176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
