t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
10000,927,5,0,68,1,6,5.286,6,4,1.842,4,1,100,20,1434,6,0,0,6,13,0,1578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,861,4,0,135,5,9,5.143,6,9,3.039,14,3,96,85,2664,17,0,0,17,34,0,3170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,722,18,1,259,6,19,5.52,6,11,3.014,30,4,94,187,5284,33,0,0,28,56,0,6507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,625,23,3,349,5,25,5.267,6,13,3.448,51,4,97,307,8239,65,0,0,54,128,0,10099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,480,27,1,492,13,34,5.043,6,19,3.75,80,5,93,468,11842,103,0,0,80,193,0,14737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,442,29,3,526,8,42,4.8,6,22,3.914,108,7,94,600,15328,147,0,0,131,302,0,19211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,401,24,4,571,14,47,4.574,6,24,4.131,137,8,92,730,19322,199,0,0,169,390,0,23938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,382,31,4,583,13,50,4.238,6,26,4.388,161,8,92,852,23573,245,0,0,220,508,0,28811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,418,18,6,558,26,40,3.848,6,26,4.411,205,8,88,1017,28126,296,0,0,288,653,0,34110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,475,15,5,505,31,39,3.514,6,26,4.279,247,8,93,1165,33054,342,0,0,367,799,0,39819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
