t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs
10000,393,29,147,71,12,8,8.85,10,8,2.771,28,2,0,0,259,62,0,0,24,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,342,37,181,80,12,8,9.65,10,6,2.115,49,2,0,0,437,101,0,0,58,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,337,48,151,103,6,12,9.111,10,7,2.505,69,2,0,0,585,136,0,0,97,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,321,48,159,112,4,11,10,10,4,1.237,86,3,0,0,726,169,0,0,134,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,358,56,118,108,1,9,10,10,2,0.722,104,3,0,0,847,199,0,0,178,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,301,67,137,135,0,12,10,10,2,0.98,112,3,0,0,968,230,0,0,199,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,279,71,161,129,1,12,10,10,2,0.996,121,3,0,0,1053,253,0,0,225,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,236,90,156,158,0,12,10,10,2,1,130,3,0,0,1163,289,0,0,247,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,252,89,141,158,3,14,8.059,10,8,2.292,147,3,0,0,1247,312,0,0,281,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,314,79,110,136,2,8,9.2,10,3,0.922,170,3,0,0,1358,331,0,0,340,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110000,367,70,96,107,1,9,10,10,2,0.971,187,3,0,0,1438,350,0,0,382,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,364,62,115,99,2,12,8.929,10,4,1.574,203,3,0,0,1492,363,0,0,402,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130000,387,62,96,95,0,9,10,10,2,0.918,208,4,0,0,1524,370,0,0,420,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,363,66,106,105,0,6,10,10,2,0.918,208,4,0,0,1575,386,0,0,429,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150000,375,55,109,101,1,8,9.222,10,3,1.352,228,5,0,0,1664,408,0,0,467,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
