t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs
10000,297,67,159,117,4,16,9.45,10,8,2.79,22,1,0,0,333,82,0,0,24,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,291,75,148,126,7,21,7.929,10,14,3.396,55,2,0,0,508,125,0,0,74,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,289,84,135,132,1,21,8.636,10,12,3.061,80,2,0,0,683,166,0,0,142,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,308,86,124,122,0,14,10,10,4,1.611,99,2,0,0,816,209,0,0,193,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,325,83,118,114,3,14,8.059,10,10,3.102,116,2,0,0,867,229,0,0,222,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,354,72,101,113,1,15,8.813,10,8,2.781,142,3,0,0,981,255,0,0,277,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,414,59,80,87,3,11,8.071,10,8,2.753,165,3,0,0,1084,274,0,0,338,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,414,59,86,81,2,9,8,10,6,2.413,177,3,0,0,1166,296,0,0,372,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,458,44,61,77,2,8,8.3,10,8,2.846,199,3,0,0,1216,313,0,0,413,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,549,26,28,37,0,4,10,10,3,1.5,232,3,0,0,1288,334,0,0,482,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110000,547,25,30,38,0,4,10,10,3,1.5,232,3,0,0,1293,336,0,0,484,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,558,21,32,29,0,3,10,10,2,0.918,237,3,0,0,1324,343,0,0,503,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130000,548,27,26,39,0,3,10,10,2,0.918,237,3,0,0,1339,352,0,0,507,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,564,19,28,29,7,3,4,10,8,2.846,264,3,0,0,1402,375,0,0,543,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150000,549,20,44,27,1,5,10,10,2,0.65,280,3,0,0,1462,398,0,0,563,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,512,19,77,32,5,5,10,10,2,0.469,286,3,0,0,1519,408,0,0,569,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170000,475,35,90,40,1,11,10,10,2,0.414,294,3,0,0,1598,426,0,0,580,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,464,38,90,48,2,11,9.154,10,4,1.145,298,3,0,0,1652,440,0,0,591,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190000,493,38,61,48,0,9,9.889,10,3,0.986,306,3,0,0,1720,453,0,0,624,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,523,30,51,36,0,7,10,10,1,0,311,3,0,0,1742,458,0,0,641,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
