t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs
10000,558,118,60,304,7,24,7.419,13,23,4.325,89,3,36,409,834,202,0,0,184,143,114,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,497,141,73,329,9,21,7.667,13,22,4.323,219,5,39,886,1706,427,0,0,518,409,201,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,233,209,78,520,5,33,9.132,13,25,4.464,301,6,34,1332,2527,652,0,0,760,588,321,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,200,231,77,532,5,34,9.333,13,25,4.471,381,7,45,1661,3171,841,0,0,1027,783,422,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,264,200,79,497,12,41,7.679,13,38,5.081,490,8,36,1992,3725,995,0,0,1282,1000,497,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,179,205,88,568,11,42,7.717,11,47,5.487,576,8,43,2400,4441,1200,0,0,1552,1192,588,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,351,193,74,422,10,29,7.667,11,28,4.599,704,9,44,2789,5100,1353,0,0,1918,1464,643,0,0,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,241,205,90,504,7,32,8.769,11,28,4.644,789,9,40,3165,5759,1540,0,0,2148,1645,718,0,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,165,228,82,565,7,37,8.705,14,31,4.735,867,9,32,3558,6389,1707,0,0,2390,1838,785,0,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,168,227,90,554,10,38,8.354,11,33,4.827,949,9,46,3857,6928,1864,0,0,2625,2012,856,0,0,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110000,231,212,84,513,8,37,8.578,11,32,4.789,1035,9,40,4205,7518,2024,0,0,2905,2218,917,0,0,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,262,190,93,495,11,33,8,11,31,4.789,1136,9,36,4641,8251,2235,0,0,3241,2462,988,0,0,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130000,258,210,84,488,5,33,8.921,11,24,4.399,1250,11,48,5062,8991,2443,0,0,3564,2694,1067,0,0,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,256,189,93,502,19,35,6.426,14,37,5.002,1349,11,37,5432,9608,2615,0,0,3842,2867,1121,0,0,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150000,218,219,91,512,6,30,9.333,11,28,4.663,1455,11,44,5849,10366,2815,0,0,4161,3104,1203,0,0,949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
