t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs
10000,622,108,52,258,5,23,7.107,11,22,4.352,71,4,41,315,733,201,0,0,145,133,104,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
20000,347,167,83,443,7,31,8.237,11,26,4.366,190,6,33,744,1639,440,0,0,411,312,253,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
30000,189,216,83,552,5,37,9.786,11,17,3.254,313,6,43,1213,2562,692,0,0,710,555,402,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
40000,130,222,90,598,10,42,8.596,11,28,4.026,398,6,36,1591,3267,895,0,0,961,749,491,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
50000,181,213,84,562,5,36,9.341,11,22,3.619,493,7,41,1948,3986,1104,0,0,1270,979,591,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158
60000,172,215,85,568,5,37,9.476,11,21,3.576,583,8,39,2337,4698,1302,0,0,1551,1198,680,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183
70000,147,220,90,583,9,41,8.5,17,27,4.1,665,8,41,2683,5332,1487,0,0,1796,1393,767,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209
80000,196,200,90,554,6,35,8.976,17,22,3.754,735,8,40,2977,5870,1650,0,0,2029,1576,839,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233
90000,222,211,84,523,8,35,8.419,17,24,4.039,845,10,45,3339,6590,1860,0,0,2338,1794,936,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266
100000,163,231,78,568,7,32,9.256,17,22,3.896,929,10,46,3705,7302,2060,0,0,2602,2000,1028,0,0,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295
110000,172,210,84,574,11,35,8.196,17,23,3.904,1008,10,40,3989,7865,2228,0,0,2839,2175,1133,0,0,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316
120000,209,208,72,551,16,32,7.479,17,23,3.802,1121,10,41,4397,8652,2444,0,0,3172,2418,1244,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353
130000,237,216,75,512,8,33,8.854,17,14,2.874,1222,11,49,4739,9385,2649,0,0,3482,2638,1377,0,0,792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389
140000,210,224,80,526,8,34,9,17,17,3.127,1306,11,48,5060,10009,2867,0,0,3726,2804,1460,0,0,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432
150000,138,217,90,595,7,39,9.043,17,18,3.242,1381,12,48,5366,10619,3047,0,0,3947,2956,1562,0,0,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461
