arm,seed,t,hostBirths,mimicBirths,otherBirths,products,hostSites,mimicSites,otherSites,hostBound,mimicBound,otherBound,matchedBound,mismatchedBound,productUnits,readyUnits,waitingUnits,sameSiteBound
durableReset,3,10000,1,1,4,12,3335,2543,911,9,0,2,9,2,3385,1863,1210,7
durableReset,3,20000,2,1,5,7,2443,1902,1460,54,0,9,58,5,4853,3685,998,1
durableReset,3,30000,1,2,2,6,1600,1881,858,3,0,0,3,0,4343,3650,547,3
durableNoBind,3,10000,0,0,5,11,2922,2418,592,0,0,0,0,0,3150,2923,0,0
durableNoBind,3,20000,2,2,2,3,2381,1993,1397,0,0,0,0,0,4056,3966,0,0
durableNoBind,3,30000,4,3,1,13,4077,1978,1235,0,0,0,0,0,6038,5590,0,0
durable,3,10000,2,3,3,3,2067,3173,1293,896,0,32,928,0,1429,1354,0,928
durable,3,20000,4,4,4,0,3608,2944,1552,2338,0,0,2338,0,2714,2651,0,2338
durable,3,30000,9,2,6,2,6012,3154,2482,3671,4,170,3842,3,4772,4642,0,3840
durableReset,4,10000,0,4,1,6,2262,4120,944,52,0,2,53,1,1584,839,608,51
durableReset,4,20000,1,5,2,6,1638,4252,1689,35,0,0,35,0,2495,1623,657,34
durableReset,4,30000,3,5,3,4,2003,5798,2459,90,33,63,179,7,3602,2421,1018,58
durable,4,10000,5,2,0,1,3981,2503,1243,1778,0,0,1778,0,1922,1830,0,1778
durable,4,20000,8,2,3,3,5572,2686,1428,3163,0,148,3310,1,4345,4124,0,3310
durable,4,30000,9,1,5,1,8268,1728,2076,4854,0,6,4860,0,5869,5621,0,4860
durableNoBind,4,10000,2,2,2,10,3515,3076,750,0,0,0,0,0,2729,2496,2,0
durableNoBind,4,20000,3,1,2,12,4896,1458,1029,0,0,0,0,0,6049,5705,0,0
durableNoBind,4,30000,6,1,4,12,5626,838,2225,0,0,0,0,0,8686,8425,0,0
durableReset,5,10000,2,3,5,14,3820,3323,1081,17,0,0,15,2,3300,1608,1381,15
durableReset,5,20000,2,1,10,10,2506,2566,1971,34,2,18,48,6,6821,5136,1438,31
durableReset,5,30000,1,0,2,5,1542,1344,777,9,0,0,8,1,5422,4690,585,8
durableNoBind,5,10000,1,1,2,8,2770,2856,751,0,0,0,0,0,1962,1743,1,0
durableNoBind,5,20000,2,0,3,11,3239,1008,792,0,0,0,0,0,4538,4228,3,0
durableNoBind,5,30000,2,1,3,10,3668,636,1094,0,0,0,0,0,7572,7285,0,0
durable,5,10000,5,1,3,2,4032,3150,1235,1620,0,89,1709,0,2175,1900,0,1634
durable,5,20000,11,3,10,9,6789,3717,2823,3768,1,182,3947,4,6048,5768,2,3859
durable,5,30000,7,4,9,5,7196,2758,3171,4312,72,168,4496,56,8010,7807,0,4187
durable,6,10000,2,0,6,2,3289,2334,648,1267,0,43,1309,1,1719,1483,0,1305
durable,6,20000,5,1,7,2,4191,1349,1822,2493,0,153,2646,0,3324,3219,0,2622
durable,6,30000,10,1,5,5,6009,1137,2321,3768,115,242,4123,2,5428,5187,2,3996
durableReset,6,10000,1,2,2,9,2892,3379,854,12,1,0,10,3,2870,1751,911,8
durableReset,6,20000,3,3,3,6,2033,3179,1292,34,53,0,84,3,4800,3745,804,30
durableReset,6,30000,2,1,4,13,2966,3005,1149,57,31,0,78,10,6915,5333,1358,53
durableNoBind,6,10000,3,0,5,11,3946,2562,907,0,0,0,0,0,2697,2400,0,0
durableNoBind,6,20000,1,2,5,18,4289,1426,1864,0,0,0,0,0,8364,7968,2,0
durableNoBind,6,30000,3,1,6,10,3933,1490,1496,0,0,0,0,0,10777,10374,0,0
