arm,seed,t,hostBirths,mimicBirths,otherBirths,products,hostSites,mimicSites,otherSites,hostBound,mimicBound,otherBound,matchedBound,mismatchedBound,productUnits,readyUnits,waitingUnits,sameSiteBound
baseline,3,10000,3,2,3,0,3236,3338,924,1595,0,40,1635,0,1827,1662,0,1635
baseline,3,20000,8,2,10,10,3941,2698,2332,2046,0,113,2152,7,2345,2263,0,2152
baseline,3,30000,7,0,6,6,6645,1746,2334,3375,0,209,3580,4,3829,3668,0,3580
baseline,4,10000,3,3,4,3,2860,3376,998,1044,8,125,1177,0,1353,1239,0,1165
baseline,4,20000,6,1,5,1,3210,3779,1634,1936,0,48,1983,1,2126,2044,0,1971
baseline,4,30000,8,4,9,2,5398,4112,2163,3398,0,91,3488,1,3834,3659,0,3488
baseline,5,10000,8,1,1,2,4767,3121,1558,2404,0,6,2410,0,2635,2435,0,2410
baseline,5,20000,14,1,3,3,8922,1581,1720,5377,0,17,5394,0,5878,5555,1,5394
baseline,5,30000,13,0,11,4,12719,600,3881,7837,0,612,8446,3,9275,8835,0,8446
baseline,6,10000,0,0,7,2,2490,2352,754,1010,0,104,1114,0,1323,1171,0,1110
baseline,6,20000,8,2,1,1,2695,1720,1100,1321,0,35,1356,0,1550,1433,0,1356
baseline,6,30000,8,1,0,0,6723,2057,1871,3959,0,20,3979,0,4246,4049,0,3979
