arm,seed,t,hostBirths,mimicBirths,otherBirths,products,hostSites,mimicSites,otherSites,hostBound,mimicBound,otherBound,matchedBound,mismatchedBound,productUnits,readyUnits,waitingUnits,sameSiteBound
reset100,1,10000,2,1,4,5,2813,2724,1534,211,0,17,226,2,757,380,197,226
reset100,1,20000,2,3,1,2,1889,3041,1305,695,0,71,763,3,1061,802,131,763
delayFold,1,10000,1,1,3,0,3719,2065,1410,0,0,0,0,0,0,0,0,0
delayFold,1,20000,4,0,4,0,4519,1164,1851,0,0,0,0,0,0,0,0,0
reset1000,1,10000,4,2,3,15,4401,2967,776,134,0,0,134,0,1372,199,737,134
reset1000,1,20000,4,0,3,17,5736,1458,1481,128,0,2,129,1,1815,269,908,129
reset100,2,10000,0,0,6,3,2484,2082,1375,732,0,133,864,1,1254,940,171,864
reset100,2,20000,4,1,3,4,1945,265,594,380,0,0,380,0,656,439,98,380
delayFold,2,10000,1,2,4,0,2778,2642,694,0,0,0,0,0,0,0,0,0
delayFold,2,20000,2,1,2,0,2514,1948,1304,0,0,0,0,0,0,0,0,0
reset1000,2,10000,3,2,2,7,3741,3950,1265,91,0,0,89,2,908,138,509,89
reset1000,2,20000,2,3,4,19,3407,4677,1783,11,0,0,8,3,1201,154,731,7
