arm,seed,t,hostBirths,mimicBirths,otherBirths,products,hostSites,mimicSites,otherSites,hostBound,mimicBound,otherBound,matchedBound,mismatchedBound,productUnits,readyUnits,waitingUnits,sameSiteBound
delay1000,1,10000,4,1,5,7,3345,1823,1343,656,0,91,710,37,1449,845,363,687
delay1000,1,20000,5,2,3,5,2825,1547,1812,1073,0,230,1300,3,1843,1459,227,1299
delay1000,1,30000,3,3,7,5,2584,2231,1293,865,0,145,992,18,1549,1178,203,981
delay1000,1,40000,4,1,4,4,2866,1989,1157,1055,0,67,1119,3,1499,1206,170,1117
delay1000,1,50000,2,0,10,5,2287,516,1032,888,0,160,1013,35,1533,1241,219,895
melt,1,10000,5,1,2,8,3547,3167,1310,761,0,35,617,179,1545,1288,0,551
melt,1,20000,3,2,1,12,3626,2230,1386,607,0,21,570,58,1466,1148,2,549
melt,1,30000,4,0,9,10,3749,1446,2015,901,0,78,873,106,1813,1543,0,829
melt,1,40000,3,4,3,14,3634,2642,2027,845,0,114,854,105,1792,1445,0,817
melt,1,50000,3,2,8,16,4505,2713,2497,914,0,134,912,136,2081,1692,0,861
baseline,1,10000,2,2,4,3,3191,3638,1715,1531,0,38,1569,0,1779,1641,0,1569
baseline,1,20000,7,7,5,0,3813,4123,2450,2224,0,189,2413,0,2548,2454,0,2413
baseline,1,30000,7,0,9,4,4625,3030,2343,2344,0,273,2616,1,2909,2837,0,2616
baseline,1,40000,10,4,1,2,6248,3406,1958,3341,0,28,3369,0,3482,3398,0,3369
baseline,1,50000,9,2,17,6,7302,3761,3836,4310,0,354,4663,1,5049,4903,0,4663
delay100,1,10000,4,1,6,3,3903,3017,1648,1766,0,137,1902,1,2330,2071,49,1902
delay100,1,20000,6,2,3,3,4158,2243,2600,2646,0,117,2763,0,3009,2900,35,2763
delay100,1,30000,5,3,2,2,5094,3211,3328,3125,124,308,3520,37,3865,3727,14,3292
delay100,1,40000,1,5,9,2,5067,4604,4897,3357,328,598,4282,1,4641,4366,22,3954
delay100,1,50000,8,3,8,3,6527,3669,4351,4088,0,493,4581,0,5014,4754,36,4581
delay100,2,10000,4,1,1,1,2513,2478,976,909,0,0,909,0,1218,1048,17,909
delay100,2,20000,4,2,2,3,3969,2087,1050,2294,0,54,2348,0,2605,2404,34,2348
delay100,2,30000,10,0,6,3,4827,1920,2411,2464,0,277,2740,1,3138,2963,22,2740
delay100,2,40000,4,1,12,5,4577,1068,2549,2135,0,131,2266,0,2567,2391,29,2266
delay100,2,50000,7,1,7,3,5553,11,2142,2572,0,98,2670,0,2945,2776,21,2670
melt,2,10000,1,0,9,7,2013,2532,1450,311,0,62,257,116,745,642,0,223
melt,2,20000,0,4,6,2,216,3179,1392,43,0,39,80,2,188,162,0,80
melt,2,30000,0,3,0,0,0,4191,643,0,0,0,0,0,0,0,0,0
melt,2,40000,0,5,1,0,0,5923,1768,0,0,0,0,0,0,0,0,0
melt,2,50000,0,8,7,0,0,4419,1419,0,0,0,0,0,0,0,0,0
delay1000,2,10000,1,3,6,2,2604,3618,1387,508,0,37,545,0,840,562,118,545
delay1000,2,20000,2,4,5,4,2434,3483,1311,874,1,112,984,3,1293,1093,92,981
delay1000,2,30000,2,2,4,6,2472,2433,1411,708,0,0,698,10,1243,815,248,697
delay1000,2,40000,5,0,11,8,3565,594,2026,1338,0,12,1343,7,1906,1484,209,1341
delay1000,2,50000,5,0,2,5,3315,0,998,645,0,3,643,5,1172,805,214,642
baseline,2,10000,5,4,6,1,3737,3722,1964,1903,0,273,2176,0,2358,2217,0,2176
baseline,2,20000,9,1,1,0,5545,3228,1381,3355,0,38,3392,1,3650,3519,1,3392
baseline,2,30000,8,4,9,6,6362,4342,3152,3993,4,161,4154,4,4534,4451,0,4150
baseline,2,40000,11,2,9,3,6381,4285,2911,3952,0,87,4039,0,4191,4091,0,4039
baseline,2,50000,8,3,11,7,7055,4202,3227,4625,0,454,5062,17,5602,5373,0,5056
