arm,seed,t,hostBirths,mimicBirths,otherBirths,products,hostSites,mimicSites,otherSites,hostBound,mimicBound,otherBound,matchedBound,mismatchedBound,productUnits,readyUnits,waitingUnits,sameSiteBound,productLateralEvents,productDockEvents,productBindEvents,boundBendDeg,boundShapeSamples,freeBendDeg,freeShapeSamples
durableNoBind,7,10000,1,0,2,8,3106,2964,864,0,0,0,0,0,2366,2110,0,0,38,631,0,0,0,0.0007899633345974209,2110
soft0NoBind,7,10000,1,0,2,10,3245,2316,707,0,0,0,0,0,2586,2290,0,0,48,702,0,0,0,496.6353736201796,2290
durable,7,10000,4,2,4,1,3320,3654,1019,1617,0,115,1732,0,2208,2106,0,1702,28,407,284,0.0006250912914307359,1732,0.00014666791051695153,374
soft0,7,10000,5,1,4,2,3620,3531,1429,2248,121,55,2404,20,3001,2837,0,2287,29,300,622,355.2944646967096,2424,75.79094742533775,413
soft0NoBind,7,20000,1,0,8,10,2645,1026,1410,0,0,0,0,0,5884,5598,0,0,39,423,0,0,0,1206.403923934202,5598
durableNoBind,7,20000,2,4,4,8,2389,2815,1738,0,0,0,0,0,4992,4819,1,0,30,429,0,0,0,0.001757994742904155,4819
durable,7,20000,10,1,7,4,4694,2136,1789,2720,0,68,2742,46,4892,4692,0,2630,23,389,704,0.0010252118188125935,2788,0.0006733059033784253,1904
soft0,7,20000,5,5,7,4,3644,4461,2344,2250,799,370,3244,175,4983,4842,0,2490,18,242,1213,528.7242477609616,3419,306.6347041608404,1423
soft0NoBind,7,30000,1,1,1,5,1889,923,1017,0,0,0,0,0,6285,6157,0,0,17,378,0,0,0,1340.7601170625273,6157
durableNoBind,7,30000,1,1,7,8,2249,3296,956,0,0,0,0,0,5464,5304,2,0,35,470,0,0,0,0.001954842293162737,5304
durable,7,30000,7,3,3,4,6326,3031,2021,3177,80,135,3388,4,6236,6129,0,3307,23,650,271,0.0012098085799837986,3392,0.0010103917982419448,2737
soft0,7,30000,9,10,8,7,5137,6812,3005,2794,1438,258,4284,206,6899,6694,0,2527,24,566,1504,660.5116557191415,4490,429.05182938782514,2204
durableNoBind,7,40000,1,2,1,3,1109,1410,968,0,0,0,0,0,4155,4069,1,0,15,234,0,0,0,0.0014965429798067158,4069
soft0NoBind,7,40000,3,1,2,5,2390,728,974,0,0,0,0,0,5892,5718,0,0,23,438,0,0,0,1192.8381448277478,5718
durable,7,40000,15,4,9,7,9252,3322,3272,5441,331,426,6155,43,8566,8281,1,5699,34,644,791,0.002284917216111656,6198,0.0007389710758910922,2083
soft0,7,40000,4,3,23,6,5235,5544,3789,2908,1054,383,4091,254,7298,7119,0,2847,17,460,1773,612.074305875898,4345,407.9757593449464,2774
durableNoBind,7,50000,1,1,3,4,792,1851,514,0,0,0,0,0,2508,2411,0,0,18,161,0,0,0,0.0008778440822677731,2411
soft0NoBind,7,50000,2,0,4,5,1811,324,900,0,0,0,0,0,6398,6220,0,0,24,378,0,0,0,1304.8599967507039,6220
durable,7,50000,12,1,8,8,10987,2916,3811,6842,109,477,7344,84,10791,10608,0,6543,27,592,1218,0.0027315895168197116,7428,0.0011735515243713986,3180
durable,8,10000,6,1,5,2,4336,2519,1281,2052,0,31,2083,0,2474,2276,0,2083,34,555,232,0.0007772011901033871,2083,0.00007016571135265566,193
durableNoBind,8,10000,1,2,1,10,3605,3054,1267,0,0,0,0,0,2907,2600,5,0,54,861,0,0,0,0.0009188391526282865,2600
soft0,7,50000,9,1,7,5,6317,3969,2645,3460,1073,218,4625,126,7988,7899,0,3329,18,427,1316,652.4013092032764,4751,503.9169572689546,3148
soft0,8,10000,4,0,6,0,2716,1386,1471,1624,0,23,1645,2,2162,2087,0,1637,25,217,201,232.9354519722567,1647,66.04697057541232,440
durable,8,20000,13,0,8,6,7428,1272,3170,4567,0,194,4712,49,6422,6285,1,4586,33,513,707,0.0017594720838144701,4761,0.0005640008557337022,1524
durableNoBind,8,20000,3,1,7,10,3376,3222,1504,0,0,0,0,0,6704,6432,1,0,36,573,0,0,0,0.0023325550560578468,6432
soft0NoBind,8,10000,2,1,3,11,3073,2352,1051,0,0,0,0,0,2939,2626,2,0,56,681,0,0,0,507.67983920001444,2626
soft0,8,20000,3,0,3,3,2159,222,1087,1399,0,26,1387,38,3121,3065,0,1283,11,209,346,222.8988606137954,1425,355.46256860333926,1640
soft0NoBind,8,20000,3,2,3,8,2301,2060,1250,0,0,0,0,0,4540,4361,0,0,29,489,0,0,0,895.2637938652525,4361
durableNoBind,8,30000,4,1,3,10,3640,2651,1553,0,0,0,0,0,6835,6493,1,0,45,741,0,0,0,0.0023430087447670537,6493
durable,8,30000,11,0,6,4,10066,600,2418,5602,0,269,5773,98,8577,8341,1,5350,31,877,1154,0.0021491777555983937,5871,0.0008961818439880026,2470
soft0,8,30000,6,0,4,2,3853,0,910,2271,0,66,2319,18,4708,4576,0,2274,15,285,325,364.1719459319763,2337,474.39595194780776,2239
soft0NoBind,8,30000,3,3,3,8,3377,2865,1232,0,0,0,0,0,5174,4986,0,0,33,826,0,0,0,1085.011430397464,4986
durableNoBind,8,40000,1,2,2,6,2536,1638,1099,0,0,0,0,0,8044,7780,1,0,24,466,0,0,0,0.0028386636224946135,7780
durable,8,40000,15,0,10,10,13027,456,3153,7333,37,258,7414,214,11202,10960,0,6701,39,867,1933,0.0027054344013628224,7628,0.0012388520195698496,3332
soft0,8,40000,8,0,0,0,4580,0,934,2724,0,0,2652,72,4690,4560,1,2463,21,297,703,394.6995677011656,2724,377.43084364156226,1836
