t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
10000,807,6,0,87,3,7,5.8,6,4,1.846,6,2,99,37,1287,8,0,0,5,7,0,1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,756,9,1,134,4,12,4.5,6,6,2.18,18,4,94,99,3025,23,0,0,13,38,0,3533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,610,22,0,268,3,28,4.581,6,8,2.567,42,6,94,213,5603,50,0,0,36,77,0,6873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,588,10,0,302,7,24,4.323,6,9,2.721,59,7,97,293,8950,91,0,0,70,159,0,11045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,583,12,0,305,9,26,4.057,6,11,2.807,76,8,97,370,12438,132,0,0,109,231,0,15345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,559,16,0,325,8,27,4.257,6,12,3.351,97,9,98,459,15832,178,0,0,153,312,0,19323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,559,18,2,321,6,33,4.231,6,14,3.192,118,10,94,558,19151,220,0,0,211,405,0,23664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,571,19,0,310,9,23,4.188,6,13,3.222,134,11,98,643,22426,249,0,0,249,504,0,27847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,571,14,1,314,8,28,4.25,6,18,3.795,156,11,97,733,25608,293,0,0,296,586,0,31900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,570,22,2,306,4,26,4.633,6,18,3.948,169,11,96,811,28805,345,0,0,339,670,0,35899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110000,583,8,4,305,5,30,4.514,6,16,3.761,187,12,97,888,32307,394,0,0,376,740,0,40342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,577,20,0,303,5,25,4.667,6,15,3.628,201,12,97,981,35815,432,0,0,422,837,0,44874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130000,553,19,1,327,5,28,4.576,6,13,3.386,219,13,94,1067,38946,481,0,0,460,907,0,48801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,547,15,2,336,6,28,4.824,6,14,3.388,236,14,95,1143,42150,535,0,0,498,979,0,52909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150000,583,11,1,305,3,23,4.923,6,14,3.425,251,15,95,1223,45261,581,0,0,551,1088,0,56968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,569,17,3,311,5,27,4.844,6,14,3.44,269,16,93,1313,48142,616,0,0,590,1170,0,60518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170000,535,13,0,352,8,31,4.769,6,20,3.965,288,17,98,1397,51224,657,0,0,620,1227,0,64557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,578,9,0,313,7,24,4.613,6,15,3.499,297,18,98,1439,54474,703,0,0,655,1311,0,68656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190000,526,19,2,353,2,34,4.556,6,14,3.489,310,18,98,1513,57578,755,0,0,677,1356,0,72330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,536,9,0,355,11,29,4.55,6,20,3.918,329,18,96,1598,60723,799,0,0,720,1429,0,76227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
