t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,771,18,1,210,3,14,5.412,6,7,2.174,18,3,99,127,3277,25,0,0,16,46,0,4193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,530,31,3,436,8,26,4.382,6,13,3.183,70,5,94,390,9626,101,0,0,78,170,0,12975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,422,21,4,553,13,39,4.481,6,24,3.999,129,6,90,653,17598,208,0,0,171,340,0,22904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,441,19,3,537,16,35,4.353,6,19,3.835,197,7,94,969,27953,324,0,0,287,616,0,35366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,324,24,1,651,24,40,3.813,6,23,3.503,286,7,90,1319,39164,429,0,0,409,840,0,49176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,332,19,3,646,20,45,3.785,6,29,4.092,380,8,87,1675,52489,529,0,0,561,1143,0,64166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,309,34,4,653,16,47,3.778,6,23,3.763,479,8,91,2055,66006,635,0,0,715,1429,0,79640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,271,28,5,696,28,58,3.64,6,27,4.103,595,9,93,2452,79857,774,0,0,871,1717,0,95784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,276,26,1,697,30,48,3.551,6,25,3.88,710,10,92,2859,93820,896,0,0,1037,2027,0,111673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,248,23,1,728,26,49,3.707,6,25,4.046,828,10,91,3299,107813,1004,0,0,1202,2337,0,127539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,250,18,4,728,30,56,3.535,6,25,4.057,936,10,88,3665,121364,1128,0,0,1361,2613,0,143400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,264,26,1,709,27,48,3.427,6,23,3.843,1047,11,96,4073,134901,1248,0,0,1518,2948,0,158777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,284,21,2,693,24,57,3.37,6,20,3.728,1172,12,97,4503,148584,1359,0,0,1704,3289,0,174614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,304,21,4,671,28,52,3.212,6,23,3.947,1301,13,85,4936,163326,1486,0,0,1884,3624,0,191595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,309,22,2,667,24,55,3.241,6,22,3.983,1418,13,96,5330,177740,1602,0,0,2058,3909,0,208172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,267,19,2,712,28,67,3.084,6,22,3.889,1543,13,95,5715,192252,1730,0,0,2226,4170,0,224689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,342,23,0,635,19,59,3.115,6,18,3.545,1657,15,93,6087,206907,1854,0,0,2421,4480,0,241185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,340,23,6,631,18,64,3.11,6,19,3.808,1808,15,91,6548,221520,1977,0,0,2620,4802,0,257744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,375,13,4,608,32,65,3.01,6,25,4.057,1958,15,95,6997,236308,2091,0,0,2833,5126,0,274703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,313,23,5,659,22,83,3.019,4,20,3.669,2092,16,90,7413,251348,2213,0,0,3017,5398,0,291800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
