t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,752,18,7,223,5,15,4.7,6,8,2.761,28,4,98,167,3140,39,0,0,27,76,0,3898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,527,23,2,448,20,35,3.891,6,18,3.436,100,4,91,448,9408,125,0,0,87,212,0,11771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,473,24,3,500,18,36,3.722,6,14,3.357,176,7,88,728,17856,221,0,0,189,441,0,21906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,425,22,4,549,21,35,3.482,6,20,3.857,266,7,93,1040,27548,337,0,0,322,660,0,33908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,380,21,0,599,31,43,3.095,6,20,3.669,369,7,94,1365,39450,439,0,0,455,884,0,47270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,386,23,5,586,30,51,3.062,6,19,3.625,468,10,90,1678,51775,546,0,0,613,1132,0,61038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,366,23,2,609,32,56,2.989,6,20,3.721,576,11,85,1996,63362,667,0,0,753,1346,0,74303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,365,27,3,605,23,55,3.205,6,17,3.618,665,11,97,2277,74332,780,0,0,897,1554,0,87003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,394,24,1,581,24,52,3.158,5,13,3.162,768,12,88,2605,84933,897,0,0,1062,1816,0,99055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,396,18,3,583,26,58,3.095,5,14,3.219,874,13,97,2923,96330,1000,0,0,1207,2051,0,112230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,387,20,1,592,28,57,3.035,5,20,3.428,984,13,92,3256,107825,1087,0,0,1369,2290,0,125534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,401,15,1,583,37,53,3.022,5,21,3.657,1097,13,95,3591,119774,1193,0,0,1528,2531,0,139655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,383,25,5,587,27,58,3.047,5,22,3.687,1203,13,93,3927,132114,1294,0,0,1690,2797,0,153555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,414,20,3,563,35,51,3.244,5,20,3.627,1301,14,91,4264,142934,1395,0,0,1851,3046,0,166135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,445,14,2,539,29,52,3.21,5,18,3.523,1405,16,88,4601,154818,1497,0,0,2014,3329,0,179925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,410,29,4,557,33,50,3.133,5,20,3.568,1505,17,93,4927,165857,1597,0,0,2154,3577,0,192998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,445,18,0,537,22,58,3.188,5,15,3.306,1606,18,88,5249,177752,1703,0,0,2308,3829,0,206569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,409,21,2,568,27,60,3.103,4,16,3.291,1721,20,96,5612,189122,1827,0,0,2463,4087,0,219536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,425,16,3,556,33,56,2.989,4,18,3.601,1823,21,90,5924,200421,1935,0,0,2615,4323,0,232816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,490,19,3,487,22,50,3.042,4,21,3.975,1913,21,92,6214,212196,2047,0,0,2766,4568,0,246563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
