t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs
10000,695,81,38,226,5,17,8.955,11,16,3.75,56,3,49,270,538,139,0,0,97,103,76,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,619,77,56,288,13,26,6.179,11,26,4.446,180,4,26,733,1320,370,0,0,391,359,154,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,447,126,63,404,8,29,8.973,11,28,4.476,292,4,34,1192,2202,612,0,0,663,632,275,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,341,159,73,467,8,34,8.452,11,34,4.811,385,5,37,1611,2987,830,0,0,930,886,395,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,314,147,77,502,9,42,8.667,11,40,5.118,513,6,38,2107,3866,1098,0,0,1264,1219,526,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,274,160,84,521,6,39,8.911,11,36,4.995,628,8,40,2593,4679,1336,0,0,1583,1500,610,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,330,137,97,476,25,40,6.508,11,44,5.164,751,9,31,3026,5442,1558,0,0,1917,1803,705,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,343,155,72,469,10,39,8.102,11,41,5.215,859,9,38,3469,6204,1768,0,0,2248,2062,805,0,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,306,165,85,484,10,35,8.778,11,36,5.003,973,9,35,3914,7008,2003,0,0,2560,2360,927,0,0,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,339,156,58,487,5,43,8.438,11,37,4.937,1086,10,44,4395,7806,2238,0,0,2884,2671,1047,0,0,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110000,321,154,83,481,13,33,8.696,11,34,4.915,1197,10,39,4802,8548,2462,0,0,3164,2917,1154,0,0,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,294,160,86,500,9,34,8.651,11,35,4.99,1282,11,36,5239,9284,2677,0,0,3451,3177,1239,0,0,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130000,378,138,75,449,8,37,8.378,11,37,5.12,1397,11,35,5690,10054,2891,0,0,3795,3487,1339,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,305,175,75,485,3,35,10.132,11,30,4.787,1496,11,43,6146,10841,3100,0,0,4079,3749,1432,0,0,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150000,232,181,85,542,7,38,8.867,11,36,5.058,1560,11,44,6509,11436,3261,0,0,4293,3955,1496,0,0,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,170,208,77,585,11,43,9,11,42,5.222,1620,11,49,6811,11971,3432,0,0,4485,4118,1566,0,0,944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170000,168,225,72,575,8,41,8.98,11,38,5.061,1684,11,46,7124,12497,3591,0,0,4691,4328,1623,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,209,186,84,561,7,41,8.854,11,43,5.335,1750,11,37,7481,13049,3740,0,0,4933,4543,1682,0,0,1069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190000,232,183,77,548,6,40,9.261,11,39,5.132,1838,11,41,7866,13706,3918,0,0,5203,4811,1769,0,0,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,238,183,66,553,5,45,8.7,11,44,5.389,1913,11,49,8212,14274,4071,0,0,5434,5029,1856,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210000,257,165,74,544,10,44,8.593,11,46,5.408,2026,11,37,8685,15075,4296,0,0,5732,5377,1987,0,0,1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,277,163,73,527,6,38,9.045,11,35,4.999,2119,11,38,9105,15807,4506,0,0,6036,5659,2085,0,0,1306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230000,199,180,75,586,9,42,8.784,11,39,5.131,2213,11,35,9541,16550,4737,0,0,6301,5912,2182,0,0,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,210,179,85,566,6,43,9.265,11,38,5.094,2306,12,39,9929,17229,4924,0,0,6571,6182,2290,0,0,1424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250000,235,172,67,566,12,41,8.642,11,44,5.313,2401,12,36,10385,17993,5142,0,0,6861,6488,2401,0,0,1512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,244,181,71,544,7,41,8.604,11,37,5.069,2493,15,42,10760,18697,5344,0,0,7165,6741,2506,0,0,1565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270000,256,159,81,544,17,41,7.948,11,45,5.287,2597,15,31,11152,19404,5548,0,0,7435,7039,2620,0,0,1625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,306,156,68,510,12,41,7.925,11,42,5.284,2726,15,37,11659,20325,5795,0,0,7823,7401,2773,0,0,1697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290000,223,159,91,567,11,41,9.135,11,40,5.157,2847,15,38,12114,21173,6035,0,0,8116,7679,2899,0,0,1773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,218,185,90,547,6,40,9.696,11,41,5.29,2928,15,37,12540,21919,6229,0,0,8385,7992,2993,0,0,1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
