t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs
10000,607,89,52,292,8,22,8.233,11,24,4.415,71,4,45,343,709,202,0,0,135,131,118,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,446,141,64,389,7,32,8.026,11,34,4.936,153,5,44,739,1454,424,0,0,362,336,216,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
30000,469,124,59,388,7,29,8.056,11,30,4.795,268,5,38,1161,2190,629,0,0,668,606,322,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
40000,373,148,72,447,9,34,8.442,11,37,5.083,385,6,37,1615,2976,841,0,0,971,847,416,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
50000,341,151,69,479,8,33,9.049,11,32,4.833,492,6,32,2063,3752,1066,0,0,1270,1132,537,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
60000,373,135,75,457,7,37,8.182,11,38,5.187,600,6,38,2497,4455,1270,0,0,1561,1420,601,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
70000,354,143,77,466,4,33,9.297,11,30,4.723,702,6,45,2927,5239,1478,0,0,1858,1731,711,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
80000,279,181,67,513,6,37,8.767,11,34,4.889,777,7,41,3245,5840,1659,0,0,2072,1892,788,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
90000,241,200,65,534,5,36,9.39,11,29,4.518,859,8,44,3638,6520,1850,0,0,2321,2140,874,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
100000,219,192,62,567,5,42,9.213,11,33,4.653,961,8,45,4004,7216,2065,0,0,2576,2401,1001,0,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
110000,274,178,65,523,12,42,8.037,11,33,4.628,1073,9,47,4390,7941,2281,0,0,2863,2685,1098,0,0,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143
120000,218,178,82,562,18,42,7.567,11,43,5.101,1173,10,39,4811,8738,2525,0,0,3152,2938,1219,0,0,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178
130000,222,177,64,577,13,44,8.211,11,40,4.951,1270,11,42,5206,9466,2742,0,0,3423,3199,1345,0,0,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217
140000,180,205,61,594,4,43,10.021,11,28,4.133,1354,11,48,5528,10160,2945,0,0,3662,3425,1489,0,0,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251
150000,147,200,75,618,6,45,9.333,11,25,3.814,1421,11,43,5856,10841,3166,0,0,3888,3647,1614,0,0,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307
160000,137,229,52,622,3,44,9.851,11,17,3.03,1483,12,47,6130,11412,3359,0,0,4089,3820,1694,0,0,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367
170000,134,212,53,641,5,43,9.792,11,20,3.263,1526,12,43,6358,11868,3513,0,0,4264,3961,1774,0,0,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401
180000,219,186,58,577,9,42,8.725,11,25,3.811,1623,13,37,6717,12557,3713,0,0,4547,4243,1887,0,0,967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463
190000,176,193,63,608,6,41,8.915,11,19,3.328,1692,13,43,7081,13227,3913,0,0,4777,4468,1979,0,0,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504
200000,194,208,61,577,5,36,9.805,11,15,2.83,1748,13,51,7322,13699,4058,0,0,4973,4628,2038,0,0,1054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546
210000,156,200,52,632,2,40,10.19,11,12,2.345,1801,13,49,7578,14197,4217,0,0,5145,4768,2118,0,0,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598
220000,215,193,66,565,7,40,9,11,21,3.354,1902,13,46,7923,14914,4445,0,0,5423,5047,2234,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658
230000,216,204,56,564,10,40,8.3,11,20,3.396,1989,13,47,8251,15598,4657,0,0,5670,5276,2347,0,0,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723
240000,176,198,66,600,4,39,9.837,11,15,2.698,2070,13,43,8589,16244,4839,0,0,5881,5503,2453,0,0,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773
250000,186,184,65,605,5,45,9.26,11,20,3.077,2147,13,44,8853,16791,5024,0,0,6088,5683,2562,0,0,1284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833
260000,183,203,54,600,3,48,9.235,11,21,3.118,2225,14,41,9181,17475,5262,0,0,6306,5926,2673,0,0,1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915
270000,112,219,45,664,2,45,10.106,11,16,2.703,2267,14,53,9438,18012,5444,0,0,6460,6070,2764,0,0,1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980
280000,150,216,64,610,5,42,9.468,11,17,2.974,2331,14,52,9641,18497,5622,0,0,6645,6238,2836,0,0,1413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045
290000,104,230,56,650,4,45,9.49,11,18,2.887,2383,14,46,9876,18985,5794,0,0,6809,6370,2918,0,0,1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1098
300000,165,198,65,612,3,41,10.205,11,12,2.376,2449,14,49,10113,19486,5956,0,0,7015,6547,3034,0,0,1509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139
