t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs
10000,271,83,109,177,1,20,8.476,10,11,3.173,38,2,2,70,423,115,0,0,58,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,145,124,112,259,0,21,9.429,10,8,2.625,73,3,0,135,713,202,0,0,128,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,148,131,81,280,3,25,8.75,10,13,3.396,118,3,1,200,924,264,0,0,220,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,124,119,115,282,4,27,8.774,10,11,2.981,170,4,0,250,1183,335,0,0,311,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,105,134,73,328,0,30,9.2,10,11,3.031,191,5,2,314,1353,390,0,0,375,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,104,130,70,336,1,28,9.034,10,12,3.159,222,5,0,377,1559,456,0,0,451,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,81,136,58,365,1,30,8.903,10,13,3.173,255,5,1,446,1737,505,0,0,510,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,98,134,66,342,3,28,8.903,10,11,3.035,313,5,2,510,1960,568,0,0,604,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,89,146,69,336,0,28,9.536,10,7,2.411,339,5,1,569,2125,620,0,0,668,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,82,159,27,372,0,28,9.25,10,9,2.78,357,5,2,637,2226,662,0,0,711,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110000,72,158,25,385,1,26,9.704,10,7,2.502,376,6,2,688,2323,696,0,0,757,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,98,149,52,341,0,19,9.684,10,8,2.84,409,6,2,730,2475,744,0,0,834,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130000,86,137,55,362,0,21,9.952,10,6,2.396,434,6,2,784,2615,786,0,0,883,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,82,157,20,381,2,23,9.2,10,10,2.931,450,6,8,839,2708,814,0,0,920,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150000,93,151,31,365,1,22,9.217,10,9,2.818,466,7,3,892,2847,857,0,0,975,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,76,154,38,372,3,28,7.581,10,14,3.496,488,7,1,945,2956,898,0,0,1016,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170000,81,154,24,381,0,26,9.615,10,8,2.614,524,7,1,1009,3107,948,0,0,1084,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,85,156,27,372,2,22,8.958,10,9,2.766,551,8,2,1077,3260,996,0,0,1144,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190000,67,152,23,398,0,23,10,10,5,2.142,563,8,6,1124,3346,1028,0,0,1172,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,88,153,21,378,1,21,9.636,10,5,2.158,586,8,1,1174,3461,1065,0,0,1228,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
