arm,seed,t,hostBirths,mimicBirths,otherBirths,products,hostSites,mimicSites,otherSites,hostBound,mimicBound,otherBound,matchedBound,mismatchedBound,productUnits,readyUnits,waitingUnits,sameSiteBound,productLateralEvents,productDockEvents,productBindEvents,boundBendDeg,boundShapeSamples,freeBendDeg,freeShapeSamples
softFree15NoBind,3,10000,0,0,5,8,2586,2310,482,0,0,0,0,0,2491,2284,0,0,33,569,0,0,0,34259.943651947986,2284
softFree15,3,10000,1,2,3,1,3030,3536,1111,1555,263,1,1669,150,2124,1999,1,1556,26,303,1022,388.0297144229486,1819,2551.331355724869,180
soft0,3,10000,3,2,8,3,3140,3352,1351,1538,0,220,1753,5,2592,2457,0,1750,30,373,379,254.50189200948356,1758,144.0665743601487,699
softSide5,3,10000,6,1,2,0,4940,3015,1335,2066,0,84,2150,0,2562,2289,0,2150,40,573,525,10433.294669608375,2150,697.2935129879,139
softFree15NoBind,3,20000,2,3,2,6,1598,2238,917,0,0,0,0,0,4845,4682,0,0,28,286,0,0,0,70214.27537467067,4682
soft0,3,20000,5,3,6,3,2664,3518,1684,1609,264,304,2103,74,4047,3967,0,1672,16,211,710,338.83866974388354,2177,353.37483902376295,1790
softFree15,3,20000,6,4,9,3,3843,4734,2637,2626,307,66,2912,87,4132,4069,0,2661,17,151,627,489.9875296682491,2999,15995.47845840347,1070
softSide5,3,20000,12,2,6,2,8929,2697,3271,5765,0,289,6053,1,6938,6614,0,6052,39,594,732,29341.691910763657,6054,2773.1414727401175,560
softFree15NoBind,3,30000,1,2,5,5,1006,3030,1222,0,0,0,0,0,4646,4592,0,0,16,238,0,0,0,68887.2206130952,4592
soft0,3,30000,5,3,9,3,2220,2797,2076,1447,373,142,1911,51,5130,5069,0,1220,8,152,429,306.66914300563724,1962,634.6447865198021,3107
softFree15,3,30000,7,4,11,2,4565,5128,2090,2937,481,226,3421,223,5367,5254,0,2814,16,203,1660,736.6739780641284,3644,23904.98255323762,1610
softSide5,3,30000,15,1,7,4,10787,1769,3261,6969,0,282,7177,74,10016,9757,0,6973,31,574,1105,35166.971100484625,7251,12523.453885158084,2506
softFree15NoBind,3,40000,1,4,1,0,1094,3192,828,0,0,0,0,0,3126,3081,0,0,2,158,0,0,0,46232.89200751524,3081
soft0,3,40000,5,2,5,3,2497,1999,1106,1533,308,150,1973,18,5259,5182,0,1608,15,230,260,295.52751109285293,1991,637.8815045988705,3191
softFree15,3,40000,10,3,7,6,5838,4207,2315,3321,463,189,3640,333,5968,5716,1,2987,25,452,2728,892.5024175868122,3973,25695.87374037694,1743
softFree15NoBind,3,50000,1,3,0,5,1186,2695,967,0,0,0,0,0,2115,2046,0,0,15,230,0,0,0,30740.614062595963,2046
softSide5,3,40000,12,1,15,15,11462,801,3035,6186,7,605,6499,299,12377,12217,0,5953,21,685,2328,33030.73667663141,6798,27073.01920158947,5419
soft0,3,50000,6,2,5,1,3755,1605,1195,2089,3,111,2192,11,6304,6201,0,2002,17,235,354,335.29972294133853,2203,855.0204116303363,3998
softFree15,3,50000,11,4,9,5,7303,3745,3293,4251,800,238,4982,307,6622,6401,0,4130,22,463,2649,1044.8648161609458,5289,16269.646213953216,1112
soft0,4,10000,1,1,1,1,2823,3389,1028,1040,60,0,1100,0,1363,1271,0,1040,15,390,146,159.56430302224456,1100,10.856104573429251,171
softSide5,4,10000,6,1,4,0,4220,2487,1027,1990,0,20,2010,0,2315,2151,1,2010,30,482,272,9744.81392355119,2010,690.3825596727207,141
softSide5,3,50000,10,1,7,5,8715,803,2881,4637,421,194,4877,375,11066,10981,0,3574,11,557,2449,25577.528068286636,5252,28649.63746754766,5729
softFree15,4,10000,6,2,0,0,4704,2816,1268,2668,0,91,2759,0,3089,2903,0,2759,37,458,313,444.208769235498,2759,2147.9440397296726,144
soft0,4,20000,5,3,8,2,3087,4068,2175,1858,300,105,2262,1,2516,2428,0,1962,20,225,285,330.9132711527115,2263,31.590680461597575,165
softSide5,4,20000,11,1,7,2,7699,821,2291,4310,0,108,4418,0,5862,5626,0,4403,30,778,495,21382.36947169124,4418,6036.9832024666,1208
softFree15NoBind,4,10000,0,2,4,7,2112,2930,419,0,0,0,0,0,2224,2060,1,0,38,475,0,0,0,30898.208597372337,2060
softFree15,4,20000,6,2,9,6,4040,3547,1998,2165,24,468,2632,25,4734,4681,0,2446,15,311,435,450.11499789628675,2657,30225.714263653703,2024
soft0,4,30000,8,3,4,2,5094,3895,2682,2787,298,55,3137,3,3880,3820,0,2839,12,357,358,453.23403715181246,3140,156.07089964635395,680
softFree15NoBind,4,20000,0,1,2,5,1200,1349,813,0,0,0,0,0,3825,3742,0,0,21,213,0,0,0,56193.28920674928,3742
softSide5,4,30000,18,1,7,9,10992,924,2851,6026,99,362,6388,99,9357,9074,0,5771,39,813,1391,31487.499492787607,6487,12962.380509404247,2587
softFree15,4,30000,7,3,5,2,4704,3654,2881,2611,184,197,2945,47,5328,5219,0,2546,20,290,566,525.0076312701465,2992,33334.40347447207,2227
softFree15NoBind,4,30000,2,2,2,4,1002,2151,704,0,0,0,0,0,4284,4208,0,0,14,221,0,0,0,63185.47694996591,4208
soft0,4,40000,9,3,8,8,7481,3084,3705,4335,308,162,4794,11,5829,5617,0,4452,33,507,630,689.7026013593933,4805,77.20735698451143,812
softSide5,4,40000,16,0,18,11,13134,600,3394,6557,154,337,6692,356,11897,11533,0,5547,39,1067,2896,34227.72901317842,7048,22411.71098023782,4485
softFree15NoBind,4,40000,0,2,3,5,738,1926,626,0,0,0,0,0,2255,2221,0,0,10,98,0,0,0,33332.94418055291,2221
softFree15,4,40000,9,3,9,4,6833,2907,2639,4309,205,170,4583,101,6877,6736,0,4459,22,378,982,802.1921918461184,4684,30673.616592910053,2052
soft0,4,50000,13,4,8,9,10632,3286,3255,5327,253,301,5824,57,9317,9056,0,5124,29,888,1082,831.5916377793279,5881,474.79118629857265,3175
softFree15NoBind,4,50000,0,2,2,0,120,1074,574,0,0,0,0,0,1793,1793,0,0,0,17,0,0,0,26893.632238648184,1793
softSide5,4,50000,17,1,7,2,14774,868,3498,7897,354,309,8130,430,14658,14042,0,6924,46,979,3174,41614.36554763884,8560,27425.142447636303,5482
softFree15,4,50000,12,2,11,6,9289,2015,2964,5118,120,241,5414,65,7852,7614,0,5249,37,733,822,937.5672793338176,5479,31874.24816716123,2135
soft0,5,10000,4,2,0,4,3150,3671,1346,1281,0,81,1320,42,1983,1814,0,1298,28,454,583,211.54046229007324,1362,47.62591493879498,452
softSide5,5,10000,2,2,2,2,2851,3920,870,1419,0,24,1436,7,1706,1614,0,1433,24,345,146,6977.114306833182,1443,842.1087096631123,171
softFree15NoBind,5,10000,1,1,3,8,2908,3205,860,0,0,0,0,0,2245,1930,2,0,40,577,0,0,0,28928.464533400256,1930
softFree15,5,10000,8,0,2,1,4629,3234,1021,2400,0,51,2451,0,2734,2519,0,2451,35,485,397,416.85817766203587,2451,899.2211151681495,68
soft0,5,20000,7,4,1,0,5331,6111,2045,3365,160,112,3588,49,4629,4527,1,3374,16,379,600,538.415269454212,3637,119.03638468373353,890
softSide5,5,20000,3,6,2,3,1993,4018,1341,1462,0,9,1471,0,3001,2969,0,1471,8,42,165,7122.314557037038,1471,7493.358775919719,1498
softFree15NoBind,5,20000,1,1,1,6,1493,2129,1201,0,0,0,0,0,4529,4378,1,0,26,247,0,0,0,65703.59973819018,4378
softFree15,5,20000,8,2,10,7,7539,2145,2230,4444,0,268,4702,10,6501,6313,0,4635,31,579,596,754.2803893267326,4712,23909.0580853154,1601
