arm,seed,t,hostBirths,mimicBirths,otherBirths,products,hostSites,mimicSites,otherSites,hostBound,mimicBound,otherBound,matchedBound,mismatchedBound,productUnits,readyUnits,waitingUnits,sameSiteBound,productLateralEvents,productDockEvents,productBindEvents,boundBendDeg,boundShapeSamples,freeBendDeg,freeShapeSamples
softFace15,1,10000,4,0,2,0,3280,2940,980,1929,0,10,1939,0,2395,2288,0,1939,28,259,214,323.67886411837765,1939,5219.934069876196,349
softSide15,1,10000,3,0,3,1,2998,3078,1120,1665,0,32,1697,0,2187,1978,0,1697,24,204,213,24875.65389092344,1697,4219.120007686202,281
soft0,1,10000,6,1,4,1,4155,1660,1186,2030,0,106,2136,0,2642,2488,0,2136,35,407,362,324.9560935022884,2136,72.28701377526558,352
softSide5,1,10000,5,0,1,0,4845,2040,1668,2739,0,0,2739,0,3081,2772,0,2739,38,300,407,13276.859635681712,2739,164.04663577867277,33
softFace15,1,20000,5,1,5,4,2927,1809,1229,1989,63,114,2130,36,4611,4515,0,2080,14,166,462,366.4956596445852,2166,35132.897680371636,2349
softSide15,1,20000,8,4,2,3,5065,3068,2055,3069,135,61,3248,17,4673,4359,0,3095,28,311,427,47837.35800421754,3265,16398.826741741304,1094
soft0,1,20000,12,1,3,6,7479,1857,1618,4071,0,7,3920,158,5763,5608,0,3842,31,716,1364,588.5909177488837,4078,280.5826595548053,1530
softSide5,1,20000,16,4,3,4,7703,2278,2845,4964,122,241,5259,68,6772,6596,0,5194,31,406,887,25826.867106411584,5327,6349.769712394592,1269
softSide30,1,10000,2,0,4,3,3190,2304,1192,181,2,0,175,8,1312,585,1,175,11,639,532,5429.637321920302,183,12054.84165306661,402
softSideNeg15,1,10000,3,0,4,1,3495,2460,1193,1877,0,59,1936,0,2425,2267,0,1936,28,390,203,28540.069025436373,1936,4981.301467740863,331
softFree15,1,10000,5,2,7,1,3463,2168,1272,1886,0,122,2008,0,2818,2654,0,2008,32,394,274,358.402495339908,2008,9619.866270244955,646
soft0,2,10000,3,2,5,2,2920,3494,1321,1178,0,44,1220,2,1664,1541,0,1210,20,392,279,188.22733306135595,1222,45.05912423364226,319
softSide30,1,20000,7,1,2,2,4689,1349,1004,788,39,47,866,8,3215,1840,0,807,17,703,1262,25882.391364723037,874,28957.323558325843,966
softSideNeg15,1,20000,3,2,2,2,3564,1515,1093,1814,114,0,1927,1,2809,2747,0,1814,9,412,177,28441.164163694593,1928,12305.0438272086,819
softFree15,1,20000,12,0,4,6,6310,1134,1643,2715,33,112,2715,145,5509,5390,1,2568,27,633,1195,629.9476174784456,2860,37766.74755617338,2530
soft0,2,20000,5,3,1,3,3107,2778,1154,1628,3,1,1547,85,3009,2899,0,1404,13,222,617,235.0300276852267,1632,270.47608409847476,1267
softFace15,2,10000,5,2,0,1,3701,4043,1095,2094,2,11,2105,2,2684,2511,1,2104,34,316,226,360.75881100127486,2107,6012.26276774989,404
softSide5,2,10000,5,1,2,1,4045,2714,1164,1749,0,5,1752,2,2192,1968,0,1749,28,446,468,8499.104737801432,1754,1067.3835203370904,214
softSide30,2,10000,3,0,5,1,3909,2544,1264,551,0,47,593,5,1515,793,0,593,16,641,764,17686.685607486663,598,5838.1691099697955,195
softSide15,2,10000,8,1,2,1,4552,3258,1367,2110,0,24,2134,0,2676,2302,0,2134,34,550,482,31272.491663915356,2134,2517.1033478065447,168
softFace15,2,20000,11,2,6,2,7205,4498,1572,4184,0,13,4194,3,5188,5013,2,4192,29,519,385,664.1482570475232,4197,12209.831648415007,816
softSide5,2,20000,13,1,0,2,7775,1228,2239,4514,0,138,4643,9,5489,5357,0,4643,33,610,514,22549.363139735084,4652,3507.922464210778,705
softSide30,2,20000,1,2,2,5,3764,1747,1472,612,0,66,673,5,3307,2289,0,615,13,437,1183,20035.76866911595,678,48312.98755615378,1611
softSide15,2,20000,10,2,7,6,7075,3747,2639,3943,0,141,4068,16,5533,5264,0,4062,28,625,594,59889.296405274785,4084,17696.695434439156,1180
softFree15,2,10000,1,2,5,2,1787,2938,1168,895,179,28,1102,0,1766,1678,0,923,22,209,153,193.06315898198466,1102,8618.91054469271,576
softSideNeg15,2,10000,3,2,4,1,3977,3152,1118,2516,0,107,2623,0,3025,2811,0,2623,38,233,359,38698.45007040589,2623,2828.6162287719935,188
softFree15,2,20000,2,4,4,2,1143,3500,1699,710,499,29,1236,2,1767,1745,0,737,4,90,62,183.60227493617924,1238,7584.82873297488,507
softSideNeg15,2,20000,6,0,3,3,4649,2694,1510,2833,0,286,3119,0,4403,4273,0,2969,13,284,312,46030.89479011057,3119,17290.781791778143,1154
