t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
10000,729,6,1,114,2,8,6,6,4,1.571,7,3,96,51,974,9,0,0,6,19,0,1248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,561,22,4,263,2,19,5.571,6,8,2.153,24,5,93,163,2966,25,0,0,16,47,0,3921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,421,21,1,407,3,27,5.233,6,10,2.583,48,5,98,304,5632,59,0,0,40,113,0,7613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,376,26,5,443,5,29,5.176,6,13,3.131,65,5,95,401,8561,89,0,0,65,188,0,11366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,366,24,1,459,4,29,5.061,6,14,3.262,86,5,93,519,11544,112,0,0,111,308,0,15292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,337,24,1,488,4,39,4.86,6,18,3.537,99,5,90,602,14382,145,0,0,141,371,0,18938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,305,30,3,512,2,31,5,6,15,3.386,114,6,93,697,17368,172,0,0,177,463,0,22627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,336,27,2,485,4,31,5.086,6,14,3.214,137,6,97,806,20384,204,0,0,224,583,0,26572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,358,20,0,472,5,28,4.758,6,14,3.214,155,6,97,890,23723,228,0,0,267,686,0,30963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,366,23,0,461,4,29,4.727,6,12,2.922,173,7,96,982,26595,266,0,0,309,786,0,34617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
