t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
10000,814,4,1,81,4,4,6,6,3,1.561,4,1,100,32,1335,15,0,0,3,6,0,1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,738,14,4,144,2,12,5.357,6,7,2.55,14,3,94,94,2893,35,0,0,15,34,0,3440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,638,16,2,244,5,23,4.786,6,10,2.779,29,4,95,172,5590,63,0,0,25,49,0,6825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,610,11,0,279,8,23,4.806,6,12,3.07,44,5,96,242,8985,120,0,0,60,110,0,11214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,596,15,1,288,0,26,4.923,6,11,2.873,55,5,98,311,12032,159,0,0,105,187,0,14975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,581,16,1,302,6,27,4.364,6,13,3.175,69,6,96,380,15014,188,0,0,137,247,0,18769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,548,14,1,337,6,31,4.243,6,14,3.363,88,6,97,460,17931,228,0,0,174,312,0,22579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,596,11,0,293,9,20,4.31,6,14,3.384,100,7,98,509,20881,261,0,0,219,389,0,26454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,599,14,0,287,6,20,4.5,6,15,3.671,114,8,94,587,23863,301,0,0,266,471,0,30327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,600,13,1,286,7,23,4.3,6,12,3.293,133,8,95,676,26792,338,0,0,311,560,0,34152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110000,592,13,0,295,9,25,4.088,6,17,3.822,152,8,98,754,30146,385,0,0,351,629,0,38472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,592,14,0,294,7,25,4.563,6,15,3.617,165,9,100,818,33317,448,0,0,382,683,0,42487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130000,621,9,0,270,8,20,4.536,6,14,3.455,182,9,94,887,36086,489,0,0,424,783,0,46323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,603,13,0,284,7,23,4.5,6,14,3.187,197,10,97,963,39318,524,0,0,462,856,0,50376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150000,599,13,2,286,10,21,4.29,6,15,3.397,210,10,96,1018,42154,568,0,0,499,917,0,53999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
