t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
10000,819,8,0,73,2,4,5.5,6,4,1.918,4,1,98,38,1223,13,0,0,6,18,0,1393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,752,14,0,134,1,13,4.786,6,7,2.36,15,3,94,99,2635,26,0,0,15,40,0,3124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,711,8,1,180,7,14,4.286,6,11,3.332,30,4,94,154,4746,51,0,0,31,73,0,5937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,666,12,3,219,4,18,4.364,6,12,3.391,46,5,95,227,7422,82,0,0,61,130,0,9399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,614,13,3,270,5,20,4.68,6,13,3.284,66,5,96,336,10233,126,0,0,100,204,0,12893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,574,19,1,306,7,26,3.939,6,14,3.542,86,6,92,433,13474,156,0,0,136,271,0,17075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,545,22,1,332,13,30,4.023,6,16,3.726,111,7,94,536,17031,197,0,0,179,352,0,21706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,444,25,1,430,16,37,4.17,6,18,3.759,139,8,90,689,21268,254,0,0,216,416,0,26907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,362,23,3,512,10,56,4.242,6,21,3.954,173,8,93,840,26756,304,0,0,258,484,0,33128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,380,21,1,498,16,52,4.074,6,25,4.135,211,9,94,1003,33194,372,0,0,329,610,0,40361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110000,326,31,3,540,15,52,4.104,6,19,3.748,250,9,91,1193,39558,423,0,0,384,739,0,47289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,287,22,2,589,16,59,3.947,6,21,4.057,307,9,90,1436,45333,455,0,0,464,896,0,53516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130000,342,27,0,531,23,45,3.912,6,23,4.066,353,9,96,1616,51846,511,0,0,546,1067,0,60902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,282,29,4,585,24,61,3.659,6,24,4.207,398,10,91,1789,58616,563,0,0,601,1158,0,68612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150000,260,26,2,612,22,63,3.918,6,21,4.1,437,11,94,1940,65107,617,0,0,660,1248,0,76101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
