t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
10000,831,6,0,63,0,8,4.75,6,4,1.75,5,2,100,27,902,11,0,0,7,18,0,1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,735,8,0,157,5,13,4.611,6,6,2.128,25,4,97,121,2313,32,0,0,18,49,0,2783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,686,13,3,198,3,23,3.885,6,7,2.192,40,5,96,184,4578,47,0,0,41,86,0,5425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,616,7,3,274,8,29,4.243,6,11,2.938,67,5,95,289,7195,83,0,0,65,133,0,8756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,596,17,1,286,12,26,4.105,6,11,2.708,87,7,96,384,10501,137,0,0,98,205,0,12706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,568,14,4,314,8,31,4.308,6,15,3.497,110,7,97,481,13249,179,0,0,131,272,0,16204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,545,22,1,332,6,37,4.023,6,14,3.437,129,7,89,567,16745,227,0,0,165,342,0,20212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,541,18,0,341,13,33,4.065,6,16,3.506,152,7,95,663,20309,266,0,0,199,413,0,24226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,512,19,0,369,9,35,4.273,6,13,3.353,174,8,95,770,24024,313,0,0,236,495,0,28367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,472,16,2,410,22,39,3.885,6,17,3.705,207,9,94,887,27937,347,0,0,276,560,0,32737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110000,422,17,1,460,22,42,3.953,6,18,3.695,241,9,92,1045,32713,392,0,0,319,650,0,38001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,391,21,0,488,28,44,3.806,6,20,3.659,286,9,96,1212,37349,435,0,0,371,765,0,42992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130000,384,23,8,485,28,49,3.545,6,23,3.721,322,9,89,1347,42678,480,0,0,432,865,0,48788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,352,20,1,527,31,50,3.481,6,23,3.827,367,10,95,1513,48132,535,0,0,483,959,0,54654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150000,429,15,1,455,26,41,3.463,6,22,3.864,403,11,91,1648,53602,590,0,0,562,1110,0,60644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
