t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,660,12,1,127,33,10,2.605,6,7,1.954,51,7,289,145,2153,25,4,0,13,27,0,2015,10,0,0,0,0,0,0,0,0,0,0,0
20000,423,23,3,351,92,19,2.91,8,10,2.633,166,10,280,508,9468,109,16,0,66,115,0,8970,15,0,0,0,0,0,0,0,0,0,0,0
30000,300,26,0,474,121,20,3.142,7,16,3.06,266,10,291,854,18387,215,33,0,147,256,0,17557,16,0,0,0,0,0,0,0,0,0,0,0
40000,291,26,6,477,114,23,3.299,7,19,3.231,339,11,294,1120,26989,320,40,0,239,424,0,25898,19,0,0,0,0,0,0,0,0,0,0,0
50000,272,30,2,496,112,25,3.35,7,20,3.364,421,11,279,1421,35695,429,45,0,334,606,0,34313,22,0,0,0,0,0,0,0,0,0,0,0
60000,260,30,6,504,118,25,3.28,7,21,3.358,505,11,277,1726,43755,534,51,0,424,813,0,42072,23,0,0,0,0,0,0,0,0,0,0,0
70000,221,32,4,543,115,27,3.5,7,23,3.65,587,11,278,2037,51635,624,67,0,522,985,0,49654,25,0,0,0,0,0,0,0,0,0,0,0
80000,227,25,0,548,127,21,3.547,7,23,3.821,657,11,291,2296,59162,715,73,0,609,1152,0,56938,25,0,0,0,0,0,0,0,0,0,0,0
90000,205,34,3,558,115,28,3.678,8,26,4.137,726,11,286,2586,66506,810,84,0,701,1341,0,63993,27,0,0,0,0,0,0,0,0,0,0,0
100000,242,24,0,534,110,23,3.789,7,27,4.239,785,12,296,2838,73660,883,91,0,792,1526,0,70916,28,0,0,0,0,0,0,0,0,0,0,0
110000,235,28,0,537,112,22,3.672,8,29,4.274,843,13,292,3086,81024,982,102,0,868,1693,0,78044,31,0,0,0,0,0,0,0,0,0,0,0
120000,231,33,3,533,103,27,3.808,8,27,4.112,907,14,289,3347,88174,1092,111,0,952,1874,0,84935,34,0,0,0,0,0,0,0,0,0,0,0
130000,211,29,0,560,102,25,4.008,8,30,4.409,967,15,284,3636,94968,1183,122,0,1037,2051,0,91455,34,0,0,0,0,0,0,0,0,0,0,0
140000,189,27,0,584,115,23,3.884,8,32,4.309,1037,16,290,3910,102284,1272,128,0,1112,2227,0,98507,36,0,0,0,0,0,0,0,0,0,0,0
150000,227,28,4,541,109,21,3.831,8,34,4.447,1098,16,286,4147,109270,1358,136,0,1200,2419,0,105263,38,0,0,0,0,0,0,0,0,0,0,0
