t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
5000,644,36,14,106,21,32,2.208,7,8,1.689,57,6,237,112,152,3,5,134,0,0,7,15,4,0,0,70,0,0,0,0,1,0
10000,123,155,24,498,95,147,2.124,6,14,1.617,344,8,133,681,907,20,12,199,0,0,8,135,80,0,1,71,0,1,0,0,5,0
15000,64,196,2,538,57,186,2.165,5,16,1.775,471,9,241,968,1284,27,20,257,0,0,8,296,177,0,1,72,0,1,0,0,10,0
20000,64,188,8,540,72,174,2.179,5,17,1.741,584,10,238,1200,1586,35,25,304,0,0,8,450,245,0,2,70,0,1,0,0,12,0
25000,47,193,3,557,73,176,2.185,6,15,1.788,678,11,252,1399,1837,41,32,349,0,0,8,580,313,0,4,61,1,3,0,0,16,0
30000,68,204,3,525,47,186,2.197,7,16,1.818,749,12,262,1550,2056,46,35,388,0,0,8,704,380,0,4,56,3,2,2,0,17,1
35000,58,217,3,522,31,195,2.235,6,18,1.936,821,13,272,1716,2279,52,42,429,0,0,8,823,463,0,6,52,2,2,0,0,19,0
40000,60,207,4,529,45,184,2.266,7,16,2.039,903,15,273,1894,2493,58,47,463,0,0,8,945,565,0,5,51,0,3,0,0,25,0
45000,75,213,3,509,35,182,2.272,7,17,1.982,974,15,264,2041,2697,60,50,505,0,0,8,1077,639,0,6,57,0,2,0,0,24,0
50000,85,218,7,490,29,182,2.303,7,18,2.156,1039,16,275,2182,2893,64,57,533,0,0,9,1195,721,0,7,51,6,7,4,0,27,2
55000,76,223,1,500,26,184,2.319,7,17,2.22,1109,17,277,2344,3099,67,60,564,0,0,9,1303,822,0,5,54,0,2,0,0,29,0
60000,69,209,9,513,38,178,2.315,9,17,2.17,1194,17,270,2523,3314,69,72,607,0,0,9,1436,922,0,6,55,0,0,0,0,24,0
65000,79,210,6,505,30,177,2.372,9,22,2.355,1262,18,268,2681,3523,79,76,668,0,0,9,1576,1011,0,6,55,0,4,0,0,25,0
70000,47,219,6,528,36,177,2.418,7,23,2.499,1332,19,272,2840,3722,88,81,720,0,0,9,1684,1096,0,8,49,6,2,4,0,27,2
75000,62,201,9,528,58,160,2.376,7,22,2.482,1416,19,262,3017,3937,90,87,760,0,0,9,1829,1192,0,7,52,3,1,2,0,28,1
80000,75,208,3,514,42,172,2.318,6,18,2.319,1487,19,279,3173,4141,94,93,787,0,0,9,1953,1292,0,7,54,1,6,1,0,25,0
85000,70,201,8,521,49,169,2.335,6,20,2.391,1576,20,264,3352,4362,106,96,825,0,0,9,2080,1381,0,6,57,0,1,0,0,28,0
90000,70,210,2,518,41,173,2.327,9,18,2.342,1647,20,272,3515,4574,116,101,872,0,0,9,2211,1478,0,7,50,4,8,3,0,29,1
95000,66,195,7,532,55,164,2.352,8,20,2.414,1753,22,268,3745,4859,124,111,913,0,0,9,2369,1607,0,7,48,0,4,0,0,29,0
100000,72,210,3,515,38,172,2.371,9,20,2.445,1833,23,261,3916,5090,128,116,950,0,0,9,2507,1696,0,9,47,5,4,2,0,30,1
