t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
5000,742,16,4,38,4,14,2.222,5,4,1.411,18,4,278,38,50,0,1,0,0,0,5,4,0,0,0,0,0,0,0,0,1,0
10000,294,119,32,355,66,114,2.139,7,10,1.576,226,8,134,435,606,11,11,6,0,0,7,54,24,0,0,0,0,0,0,0,3,0
15000,57,186,13,544,85,176,2.107,6,12,1.473,424,9,194,856,1159,20,19,16,0,0,7,189,130,0,0,0,0,0,0,0,10,0
20000,67,197,3,533,53,187,2.188,6,13,1.655,509,11,251,1045,1416,23,26,43,0,0,7,312,203,0,0,0,0,0,0,0,15,0
25000,75,200,5,520,50,183,2.206,6,12,1.724,590,11,258,1227,1653,28,34,60,0,0,7,430,280,0,0,0,0,0,0,0,18,0
30000,61,212,2,525,46,189,2.179,6,13,1.62,667,12,260,1393,1879,34,37,76,0,0,7,534,352,0,0,0,0,0,0,0,17,0
35000,103,206,4,487,29,177,2.277,7,16,1.906,729,13,266,1530,2064,41,45,97,0,0,7,638,416,0,0,0,0,0,0,0,24,0
40000,76,206,0,518,43,180,2.238,7,14,1.924,811,15,270,1719,2290,49,50,111,0,0,7,740,526,0,0,0,0,0,0,0,24,0
45000,72,210,4,514,40,182,2.243,7,14,1.974,891,16,274,1874,2500,54,53,135,0,0,7,850,624,0,0,0,0,0,0,0,25,0
50000,67,213,4,516,42,180,2.243,6,13,1.966,962,16,268,2033,2704,57,58,160,0,0,7,954,706,0,0,0,0,0,0,0,25,0
55000,55,212,2,531,45,184,2.245,5,16,2.036,1032,17,267,2193,2897,63,63,179,0,0,7,1051,780,0,0,0,0,0,0,0,26,0
60000,57,209,4,530,46,179,2.284,7,15,2.125,1102,17,271,2348,3095,67,66,203,0,0,7,1153,878,0,0,0,0,0,0,0,29,0
65000,84,200,4,512,43,168,2.299,7,18,2.167,1170,18,274,2498,3288,72,70,234,0,0,7,1265,966,0,0,0,0,0,0,0,25,0
70000,67,201,4,528,44,176,2.3,9,18,2.224,1255,20,270,2689,3523,78,73,252,0,0,7,1375,1065,0,0,0,0,0,0,0,26,0
75000,67,205,10,518,46,173,2.306,9,17,2.313,1327,20,274,2842,3737,84,79,276,0,0,7,1487,1149,0,0,0,0,0,0,0,28,0
80000,64,203,8,525,47,175,2.297,9,15,2.276,1422,20,267,3052,3993,90,87,308,0,0,7,1628,1258,0,0,0,0,0,0,0,24,0
85000,70,211,2,517,37,176,2.338,9,17,2.389,1478,21,274,3182,4174,93,89,335,0,0,7,1731,1336,0,0,0,0,0,0,0,25,0
90000,75,204,0,521,40,175,2.316,6,15,2.354,1549,21,271,3345,4375,98,94,354,0,0,7,1838,1416,0,0,0,0,0,0,0,25,0
95000,73,203,3,521,42,172,2.341,11,19,2.378,1627,24,263,3521,4606,106,98,377,0,0,7,1956,1516,0,0,0,0,0,0,0,26,0
100000,67,207,10,516,43,173,2.315,9,16,2.331,1702,25,271,3669,4811,109,100,398,0,0,8,2056,1603,0,0,0,0,0,0,0,25,0
