t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
5000,579,52,20,149,29,48,2.156,7,6,1.398,85,5,266,169,229,5,3,122,0,0,12,24,0,0,0,72,0,0,0,0,0,0
10000,71,167,18,544,99,155,2.161,7,15,1.699,354,9,258,730,952,23,12,206,0,0,13,133,0,0,2,82,0,1,0,0,0,0
15000,59,190,7,544,71,177,2.177,6,14,1.817,464,11,271,972,1272,32,15,253,0,0,13,290,0,0,2,75,1,1,0,0,0,0
20000,55,202,4,539,53,184,2.198,6,17,1.845,552,11,287,1168,1533,34,24,300,0,0,13,432,0,0,2,78,0,2,0,0,0,0
25000,84,204,9,503,39,185,2.188,7,14,1.781,636,11,277,1355,1790,40,32,350,0,0,13,591,0,0,2,73,0,0,0,0,0,0
30000,56,207,8,529,48,188,2.191,8,15,1.795,720,12,275,1535,2018,52,39,403,0,0,13,711,0,0,4,69,3,4,2,0,0,1
35000,50,209,4,537,38,193,2.229,8,16,2.028,794,13,283,1712,2244,56,45,437,0,0,13,829,0,0,5,68,0,0,0,0,0,0
40000,46,209,1,544,43,186,2.288,8,18,2.217,878,13,284,1904,2483,60,49,482,0,0,13,965,0,0,3,66,1,2,0,0,0,0
45000,67,216,1,516,30,179,2.321,5,18,2.28,945,14,280,2062,2696,64,57,538,0,0,13,1107,0,0,5,53,3,3,2,0,0,1
50000,70,212,2,516,36,179,2.293,5,16,2.219,1019,15,289,2238,2920,71,63,585,0,0,13,1255,0,0,6,50,1,1,0,0,0,0
55000,79,203,3,515,42,170,2.316,6,16,2.277,1096,15,284,2409,3145,78,67,634,0,0,13,1383,0,0,7,49,9,2,4,0,0,2
60000,63,217,6,514,29,182,2.322,6,18,2.336,1180,16,286,2591,3384,81,75,690,0,0,13,1523,0,0,7,48,3,6,2,0,0,1
65000,70,207,2,521,35,174,2.349,6,19,2.415,1255,17,283,2766,3589,87,84,718,0,0,13,1645,0,0,7,49,0,7,0,0,0,0
70000,72,209,2,517,34,177,2.322,6,19,2.347,1329,19,292,2925,3808,93,84,758,0,0,13,1771,0,0,10,49,4,6,2,0,0,1
75000,70,208,5,517,33,176,2.349,6,18,2.429,1391,20,289,3071,3997,96,90,798,0,0,14,1887,0,0,7,47,4,5,2,0,0,1
80000,72,210,4,514,32,171,2.409,6,20,2.542,1471,21,278,3256,4236,101,96,835,0,0,14,2033,0,0,7,45,1,2,0,0,0,0
85000,63,215,1,521,35,174,2.378,6,18,2.446,1547,21,289,3420,4452,109,104,882,0,0,14,2168,0,0,6,51,0,2,0,0,0,0
90000,70,205,5,520,47,170,2.313,6,16,2.355,1630,22,283,3592,4665,112,107,919,0,0,14,2300,0,0,7,50,0,3,0,0,0,0
95000,66,207,4,523,47,170,2.336,6,20,2.414,1696,23,285,3738,4862,119,110,962,0,0,14,2420,0,0,7,49,1,3,0,0,0,0
100000,70,215,7,508,28,180,2.337,6,21,2.389,1774,24,292,3911,5101,123,113,1015,0,0,15,2567,0,0,10,47,1,5,0,0,0,0
