t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,423,20,183,174,88,16,3.202,9,22,3.07,122,4,4,189,4750,57,30,0,27,40,0,4391,20,0,0,0,0,0,0,0,0,0,0,0
20000,264,38,226,272,94,31,3.472,9,29,3.796,209,4,1,388,12808,146,84,0,101,168,0,12154,29,0,0,0,0,0,0,0,0,0,0,0
30000,181,37,231,351,106,28,3.843,10,36,4.199,283,5,1,587,20384,238,132,0,179,305,0,19482,34,0,0,0,0,0,0,0,0,0,0,0
40000,150,36,204,410,111,28,3.978,10,38,4.389,357,5,1,809,27118,321,164,0,266,485,0,25946,34,0,0,0,0,0,0,0,0,0,0,0
50000,135,34,186,445,110,30,4.014,10,35,4.474,423,6,3,1028,34610,401,192,0,347,688,0,33165,35,0,0,0,0,0,0,0,0,0,0,0
60000,137,43,168,452,102,38,3.993,10,43,4.652,488,6,1,1236,42412,486,224,0,431,905,0,40701,36,0,0,0,0,0,0,0,0,0,0,0
70000,125,41,190,444,104,36,4.036,10,44,4.78,558,6,2,1417,50147,585,250,0,514,1105,0,48163,37,0,0,0,0,0,0,0,0,0,0,0
80000,115,35,224,426,118,31,4.013,9,41,4.729,632,7,3,1603,56691,653,277,0,604,1314,0,54425,38,0,0,0,0,0,0,0,0,0,0,0
90000,166,46,206,382,95,38,3.955,10,45,4.822,700,8,0,1787,64077,745,313,0,713,1577,0,61522,38,0,0,0,0,0,0,0,0,0,0,0
100000,167,42,210,381,108,32,3.893,9,41,4.662,773,8,1,1982,71138,831,339,0,806,1783,0,68311,41,0,0,0,0,0,0,0,0,0,0,0
110000,140,38,223,399,115,31,3.932,10,38,4.65,845,8,0,2183,78140,918,369,0,895,1973,0,75034,42,0,0,0,0,0,0,0,0,0,0,0
120000,155,38,227,380,104,28,4.265,9,44,4.967,910,8,2,2364,85060,997,399,0,997,2193,0,81678,44,0,0,0,0,0,0,0,0,0,0,0
130000,131,33,188,448,112,27,4.137,10,43,4.859,973,9,3,2586,91833,1097,423,0,1074,2381,0,88187,46,0,0,0,0,0,0,0,0,0,0,0
140000,130,36,228,406,114,28,4.049,12,42,4.839,1036,10,0,2762,98848,1177,457,0,1161,2590,0,94935,47,0,0,0,0,0,0,0,0,0,0,0
150000,165,39,204,392,108,31,3.95,12,42,4.789,1101,10,1,2950,106476,1254,480,0,1253,2800,0,102316,48,0,0,0,0,0,0,0,0,0,0,0
160000,170,36,219,375,108,30,3.891,13,35,4.543,1179,10,1,3140,114249,1341,502,0,1355,3024,0,109792,51,0,0,0,0,0,0,0,0,0,0,0
170000,159,33,210,398,112,28,3.95,13,40,4.736,1252,11,1,3352,121678,1428,536,0,1443,3225,0,116953,52,0,0,0,0,0,0,0,0,0,0,0
180000,148,41,199,412,103,32,4.044,13,42,4.771,1313,11,1,3547,128384,1507,566,0,1540,3414,0,123395,54,0,0,0,0,0,0,0,0,0,0,0
190000,140,36,193,431,107,30,4.285,13,44,4.847,1386,11,1,3759,135744,1594,595,0,1629,3599,0,130494,54,0,0,0,0,0,0,0,0,0,0,0
200000,116,40,186,458,104,33,4.285,13,41,4.867,1446,11,5,3961,142651,1679,623,0,1702,3780,0,137152,56,0,0,0,0,0,0,0,0,0,0,0
