t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,434,26,160,180,76,20,3.177,7,19,3.301,113,4,2,190,4213,51,23,0,28,65,15,3861,34,0,0,0,0,0,0,0,0,0,0,0
20000,266,33,236,265,111,28,3.237,7,24,3.689,244,6,2,387,12036,153,73,0,130,225,42,11305,38,0,0,0,0,0,0,0,0,0,0,0
30000,211,41,202,346,103,38,3.433,8,30,3.997,316,7,0,570,19409,232,113,0,219,383,72,18419,41,0,0,0,0,0,0,0,0,0,0,0
40000,141,39,224,396,121,33,3.63,8,34,4.287,404,7,1,750,27341,334,152,0,312,557,90,26054,44,0,0,0,0,0,0,0,0,0,0,0
50000,103,42,201,453,121,36,3.764,8,37,4.41,478,8,2,959,34882,430,172,0,405,742,115,33295,44,0,0,0,0,0,0,0,0,0,0,0
60000,120,31,150,499,126,24,4.02,9,43,4.671,545,8,5,1165,42769,526,201,0,495,941,155,40935,44,0,0,0,0,0,0,0,0,0,0,0
70000,109,47,139,505,103,38,4.135,8,42,4.795,598,8,0,1357,49822,612,224,0,575,1130,175,47732,45,0,0,0,0,0,0,0,0,0,0,0
80000,89,37,154,520,119,31,4.16,8,44,4.749,669,9,2,1556,56729,698,243,0,656,1336,202,54348,46,0,0,0,0,0,0,0,0,0,0,0
90000,121,39,179,461,112,31,4.14,8,43,4.93,739,9,3,1737,64414,774,268,0,756,1586,219,61734,46,0,0,0,0,0,0,0,0,0,0,0
100000,148,42,176,434,103,35,4.051,9,43,4.757,814,9,1,1930,71825,856,294,0,867,1827,246,68846,47,0,0,0,0,0,0,0,0,0,0,0
110000,118,42,192,448,107,35,4.028,9,42,4.813,879,9,1,2092,79216,966,318,0,956,2015,273,75952,48,0,0,0,0,0,0,0,0,0,0,0
120000,127,33,189,451,122,27,3.987,10,39,4.687,962,11,1,2284,87017,1074,341,0,1054,2251,312,83454,50,0,0,0,0,0,0,0,0,0,0,0
130000,128,33,173,466,111,31,4.014,9,40,4.589,1036,12,0,2494,94945,1176,361,0,1150,2491,343,91060,50,0,0,0,0,0,0,0,0,0,0,0
140000,116,29,171,484,122,26,4.061,10,43,4.809,1105,13,0,2689,102486,1271,395,0,1236,2694,390,98337,52,0,0,0,0,0,0,0,0,0,0,0
150000,117,37,141,505,102,34,4.346,10,46,5.041,1162,14,1,2878,110416,1362,423,0,1317,2903,409,106006,52,0,0,0,0,0,0,0,0,0,0,0
160000,145,45,148,462,88,37,4.2,10,44,4.897,1220,14,1,3079,118040,1450,448,0,1408,3154,433,113340,53,0,0,0,0,0,0,0,0,0,0,0
170000,126,39,160,475,100,33,4.218,9,48,5.013,1282,14,2,3252,125636,1559,469,0,1486,3337,461,120683,57,0,0,0,0,0,0,0,0,0,0,0
180000,104,50,138,508,90,37,4.598,10,50,5.174,1336,14,0,3447,132117,1649,487,0,1564,3516,489,126905,60,0,0,0,0,0,0,0,0,0,0,0
190000,76,53,153,518,85,42,4.677,10,50,5.114,1393,14,1,3649,138268,1722,505,0,1647,3709,513,132770,61,0,0,0,0,0,0,0,0,0,0,0
200000,134,40,167,459,86,33,4.655,11,51,5.158,1443,14,2,3813,144426,1807,526,0,1730,3929,525,138701,61,0,0,0,0,0,0,0,0,0,0,0
