t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,304,23,225,248,145,17,2.79,7,21,2.961,194,6,1,310,7890,91,40,0,38,73,7379,21,0,0,0,0,0,0,0,0,0,0,0
20000,231,22,280,267,157,17,2.989,9,27,3.579,293,6,1,442,16034,185,108,0,133,236,15268,26,0,0,0,0,0,0,0,0,0,0,0
30000,268,30,259,242,123,25,3.128,10,29,3.78,365,6,3,561,23977,274,155,0,244,437,22988,29,0,0,0,0,0,0,0,0,0,0,0
40000,242,34,280,244,128,27,3.097,10,33,3.834,455,6,5,685,31182,358,206,0,338,601,29964,34,0,0,0,0,0,0,0,0,0,0,0
50000,214,35,279,272,135,26,3.174,10,29,3.94,539,7,2,802,38030,442,249,0,429,752,36593,42,0,0,0,0,0,0,0,0,0,0,0
60000,212,31,275,282,136,25,3.242,10,35,4.013,622,7,5,934,45407,536,303,0,530,917,43760,45,0,0,0,0,0,0,0,0,0,0,0
70000,205,40,279,276,119,30,3.416,10,39,4.307,698,8,1,1051,52202,616,349,0,626,1078,50340,47,0,0,0,0,0,0,0,0,0,0,0
80000,220,37,273,270,116,26,3.521,10,38,4.401,781,8,5,1185,58714,689,389,0,731,1266,56609,48,0,0,0,0,0,0,0,0,0,0,0
90000,201,38,268,293,106,30,3.743,11,42,4.566,851,8,3,1317,65735,794,435,0,814,1414,63421,49,0,0,0,0,0,0,0,0,0,0,0
100000,194,39,262,305,105,30,3.815,12,41,4.69,914,9,1,1462,72387,879,470,0,900,1586,69853,55,0,0,0,0,0,0,0,0,0,0,0
110000,178,44,260,318,100,32,3.841,9,44,4.793,977,9,4,1597,78706,966,508,0,978,1750,75944,55,0,0,0,0,0,0,0,0,0,0,0
120000,193,39,280,288,103,33,3.75,9,40,4.324,1050,10,3,1722,85292,1053,551,0,1077,1956,82288,59,0,0,0,0,0,0,0,0,0,0,0
130000,183,37,269,311,113,29,3.782,9,44,4.53,1118,10,4,1852,92220,1135,591,0,1148,2113,89016,60,0,0,0,0,0,0,0,0,0,0,0
140000,180,42,264,314,101,33,3.888,9,42,4.596,1180,11,4,1983,98661,1217,629,0,1230,2295,95233,64,0,0,0,0,0,0,0,0,0,0,0
150000,193,32,305,270,108,27,3.889,10,43,4.549,1251,11,6,2083,104723,1311,664,0,1315,2471,101082,66,0,0,0,0,0,0,0,0,0,0,0
