t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,234,39,83,444,118,31,3.148,9,25,3.489,176,6,71,507,7571,117,39,0,39,57,7006,22,0,284,0,0,0,0,0,0,0,32,0
20000,104,32,13,651,135,30,3.648,10,36,4.238,273,8,183,965,17966,242,73,0,135,226,17039,23,0,786,0,0,0,0,0,0,0,58,0
30000,117,43,14,625,110,36,3.849,9,37,4.427,345,8,215,1284,26332,356,90,0,245,464,25088,26,0,1111,0,0,0,0,0,0,0,67,0
40000,103,31,9,657,121,27,4.02,9,40,4.635,419,9,206,1614,34629,473,106,0,341,673,33080,27,0,1411,0,0,0,0,0,0,0,67,0
50000,92,35,18,655,124,31,4.058,9,43,4.713,492,9,218,1896,42717,571,125,0,420,882,40890,29,0,1687,0,0,0,0,0,0,0,64,0
60000,118,26,15,641,123,22,4.159,9,44,4.805,568,9,199,2264,51548,676,151,0,531,1156,49386,31,0,2016,0,0,0,0,0,0,0,60,0
70000,112,40,10,638,107,32,4.18,10,46,4.951,640,9,211,2589,60756,800,174,0,629,1389,58273,31,0,2331,0,0,0,0,0,0,0,54,0
80000,101,41,13,645,113,32,4.103,10,47,5.03,723,10,208,2931,69543,916,204,0,730,1629,66734,32,0,2639,0,0,0,0,0,0,0,56,0
90000,87,32,21,660,116,29,4.366,9,47,5.147,801,11,199,3286,78042,1013,220,0,833,1874,74884,32,0,2961,0,0,0,0,0,0,0,60,0
100000,110,45,13,632,98,36,4.336,9,45,5.133,853,11,212,3574,85299,1109,230,0,918,2107,81858,34,0,3246,0,0,0,0,0,0,0,56,0
110000,109,44,11,636,104,35,4.266,9,47,5.079,927,12,207,3911,93798,1226,247,0,1019,2349,90028,34,0,3564,0,0,0,0,0,0,0,56,0
120000,100,39,21,640,107,29,4.412,10,49,5.117,998,13,205,4245,101763,1345,276,0,1122,2579,97673,34,0,3866,0,0,0,0,0,0,0,61,0
130000,105,49,18,628,98,35,4.248,10,46,5.015,1062,14,202,4560,109274,1437,292,0,1211,2816,104879,36,0,4159,0,0,0,0,0,0,0,58,0
140000,87,29,8,676,116,25,4.426,10,53,5.234,1123,14,212,4865,116805,1530,313,0,1283,3006,112148,36,0,4455,0,0,0,0,0,0,0,66,0
150000,99,44,7,650,98,36,4.455,9,51,5.196,1177,14,207,5152,124406,1636,327,0,1373,3234,119453,36,0,4713,0,0,0,0,0,0,0,76,0
