t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,273,36,131,359,132,30,2.833,7,19,3.335,203,6,4,413,8012,113,52,0,44,62,7499,26,0,0,0,0,0,0,0,0,0,0,0
20000,120,35,41,604,169,34,2.99,7,25,3.81,345,7,14,919,19636,265,92,0,160,248,18711,30,0,0,0,0,0,0,0,0,0,0,0
30000,114,42,26,618,146,36,3.275,7,29,4.252,437,7,30,1276,29681,393,122,0,289,469,28425,32,0,0,0,0,0,0,0,0,0,0,0
40000,115,38,31,616,136,34,3.476,8,36,4.449,526,9,18,1619,39337,500,153,0,406,700,37766,34,0,0,0,0,0,0,0,0,0,0,0
50000,84,43,19,654,118,38,4,8,42,4.856,606,9,24,1972,48168,606,180,0,519,910,46265,34,0,0,0,0,0,0,0,0,0,0,0
60000,107,35,18,640,117,33,4.06,8,45,4.896,682,10,27,2299,56928,739,200,0,624,1152,54718,35,0,0,0,0,0,0,0,0,0,0,0
70000,75,39,13,672,117,34,4.152,8,47,4.978,749,11,33,2625,64818,823,221,0,709,1366,62291,35,0,0,0,0,0,0,0,0,0,0,0
80000,112,28,20,640,123,23,4.212,8,47,5.048,821,11,31,2920,72534,911,238,0,809,1603,69718,35,0,0,0,0,0,0,0,0,0,0,0
90000,95,36,17,652,116,34,4.12,8,48,4.948,892,12,27,3228,80928,1033,257,0,897,1816,77808,36,0,0,0,0,0,0,0,0,0,0,0
100000,91,33,17,659,117,29,4.274,9,51,5.095,943,12,39,3457,88291,1121,271,0,965,1972,84956,36,0,0,0,0,0,0,0,0,0,0,0
110000,68,42,20,670,96,36,4.583,8,48,5.189,996,13,32,3753,95234,1224,284,0,1057,2171,91600,38,0,0,0,0,0,0,0,0,0,0,0
120000,120,41,22,617,93,33,4.563,8,49,5.22,1066,14,21,4061,103229,1329,309,0,1156,2442,99301,39,0,0,0,0,0,0,0,0,0,0,0
130000,82,48,14,656,90,39,4.643,8,48,5.259,1126,14,38,4388,111337,1441,324,0,1239,2656,107083,40,0,0,0,0,0,0,0,0,0,0,0
140000,99,33,17,651,111,26,4.467,9,51,5.173,1193,15,30,4683,118278,1532,343,0,1322,2876,113754,40,0,0,0,0,0,0,0,0,0,0,0
150000,89,37,20,653,99,31,4.692,9,52,5.354,1246,16,23,4990,126377,1638,366,0,1411,3097,121559,42,0,0,0,0,0,0,0,0,0,0,0
