t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,287,39,115,359,106,34,3.079,8,19,3.086,175,5,4,423,7290,99,30,0,46,79,0,6737,20,0,0,0,0,0,0,0,0,0,0,0
20000,80,30,32,658,165,23,3.42,9,34,4.009,287,7,19,891,16922,240,60,0,127,203,0,15993,25,0,0,0,0,0,0,0,0,0,0,0
30000,81,39,13,667,129,36,3.709,9,36,4.34,348,7,30,1199,24556,358,81,0,228,404,0,23341,25,0,0,0,0,0,0,0,0,0,0,0
40000,77,36,2,685,124,31,4.019,9,43,4.711,408,8,38,1483,32042,440,101,0,319,582,0,30572,25,0,0,0,0,0,0,0,0,0,0,0
50000,75,45,14,666,116,33,4.195,9,43,4.78,469,8,30,1749,39870,534,120,0,405,781,0,38129,25,0,0,0,0,0,0,0,0,0,0,0
60000,82,42,14,662,104,34,4.413,9,44,4.841,528,9,39,2038,46856,641,143,0,491,995,0,44846,26,0,0,0,0,0,0,0,0,0,0,0
70000,102,38,23,637,109,31,4.279,10,43,4.719,605,9,26,2382,55466,763,163,0,593,1268,0,53126,29,0,0,0,0,0,0,0,0,0,0,0
80000,85,34,13,668,110,30,4.471,10,46,4.875,670,10,30,2712,64079,879,181,0,678,1482,0,61442,32,0,0,0,0,0,0,0,0,0,0,0
90000,75,43,11,671,102,37,4.388,10,45,4.886,729,11,28,2992,71897,993,190,0,766,1677,0,68980,34,0,0,0,0,0,0,0,0,0,0,0
100000,65,34,11,690,113,32,4.407,10,47,4.986,786,12,34,3252,78835,1102,210,0,841,1848,0,75677,34,0,0,0,0,0,0,0,0,0,0,0
110000,118,34,17,631,107,30,4.27,10,42,4.763,842,12,26,3512,86332,1191,219,0,936,2078,0,82911,35,0,0,0,0,0,0,0,0,0,0,0
120000,108,40,19,633,105,35,4.293,11,43,4.791,917,13,30,3859,94774,1292,244,0,1035,2326,0,91020,37,0,0,0,0,0,0,0,0,0,0,0
130000,104,32,21,643,121,28,4.114,10,47,4.762,996,14,28,4198,104025,1393,265,0,1128,2561,0,99953,38,0,0,0,0,0,0,0,0,0,0,0
140000,100,30,22,648,122,26,4.196,8,45,4.718,1062,15,21,4503,112675,1501,281,0,1222,2778,0,108306,41,0,0,0,0,0,0,0,0,0,0,0
150000,123,40,34,603,108,35,4.084,8,42,4.494,1143,16,22,4819,122227,1629,305,0,1327,3046,0,117531,42,0,0,0,0,0,0,0,0,0,0,0
