t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,531,14,169,86,61,10,3.155,8,19,3.602,78,3,3,89,3249,45,30,0,29,50,3011,32,0,32,0,0,0,0,0,0,0,6,0
20000,398,18,268,116,90,16,3.387,9,32,4.256,163,3,4,176,7973,107,81,0,86,162,7509,46,0,120,0,0,0,0,0,0,0,7,0
30000,318,20,314,148,108,18,3.5,9,37,4.404,235,4,4,266,12914,170,134,0,152,293,12243,57,0,210,0,0,0,0,0,0,0,11,0
40000,315,24,267,194,91,23,3.754,9,37,4.49,300,4,2,389,18409,228,180,0,229,467,17540,63,0,331,0,0,0,0,0,0,0,16,0
50000,228,30,250,292,105,27,3.75,10,39,4.589,387,5,8,578,24802,305,220,0,314,623,23654,69,0,526,0,0,0,0,0,0,0,28,0
60000,158,38,232,372,107,34,3.809,10,38,4.644,461,6,6,786,31730,389,247,0,382,788,30312,74,0,732,0,0,0,0,0,0,0,31,0
70000,169,35,224,372,107,29,4.059,10,37,4.764,544,7,7,1019,39584,489,277,0,492,1010,37863,75,0,966,0,0,0,0,0,0,0,31,0
80000,138,37,163,461,113,30,4,10,42,4.907,610,7,19,1292,46657,583,303,0,575,1179,44680,77,0,1251,0,0,0,0,0,0,0,51,0
90000,128,35,150,487,111,29,4.107,10,50,5.003,686,7,16,1571,54077,672,336,0,668,1408,51796,77,0,1527,0,0,0,0,0,0,0,48,0
100000,114,41,123,522,104,36,4.057,10,47,4.867,748,8,20,1820,61554,768,351,0,750,1607,58996,80,0,1780,0,0,0,0,0,0,0,47,0
110000,86,41,113,560,111,29,4.243,10,55,5.141,807,8,28,2098,68999,877,384,0,835,1793,66173,81,0,2066,0,0,0,0,0,0,0,61,0
120000,100,41,92,567,101,35,4.338,10,54,5.152,864,8,29,2348,76510,956,408,0,920,1992,73440,83,0,2317,0,0,0,0,0,0,0,53,0
130000,111,41,112,536,109,34,4.161,10,48,5.028,936,9,25,2604,84684,1050,432,0,1007,2239,81312,83,0,2569,0,0,0,0,0,0,0,54,0
140000,121,41,106,532,102,33,4.385,10,49,5.168,992,9,29,2843,92277,1144,457,0,1100,2438,88648,85,0,2812,0,0,0,0,0,0,0,56,0
150000,100,33,112,555,110,28,4.341,9,47,5.038,1060,11,24,3123,99473,1241,475,0,1186,2654,95538,86,0,3087,0,0,0,0,0,0,0,55,0
