t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
10000,499,17,172,112,63,15,3.385,8,23,3.603,95,4,7,118,3314,52,44,0,30,49,0,3056,32,0,65,0,0,0,0,0,0,0,14,0
20000,334,24,257,185,99,19,3.475,8,30,3.903,190,4,4,260,9610,124,87,0,91,184,0,9047,41,0,204,0,0,0,0,0,0,0,20,0
30000,279,26,276,219,107,24,3.534,8,35,4.028,279,5,9,397,16415,194,123,0,181,359,0,15577,47,0,346,0,0,0,0,0,0,0,24,0
40000,226,30,248,296,122,24,3.445,7,34,4.02,362,6,8,594,23635,298,178,0,262,529,0,22557,53,0,542,0,0,0,0,0,0,0,28,0
50000,134,32,162,472,145,26,3.491,8,37,3.829,460,6,15,885,32149,404,218,0,341,685,0,30782,54,0,840,0,0,0,0,0,0,0,53,0
60000,110,37,92,561,137,32,3.556,8,39,4.144,536,6,34,1187,41456,501,244,0,437,875,0,39807,56,0,1161,0,0,0,0,0,0,0,68,0
70000,107,25,67,601,146,22,3.833,9,47,4.582,614,7,46,1464,50219,607,272,0,533,1050,0,48322,57,0,1450,0,0,0,0,0,0,0,82,0
80000,118,39,74,569,122,34,3.84,9,41,4.488,681,8,38,1733,59040,713,295,0,634,1280,0,56840,57,0,1711,0,0,0,0,0,0,0,75,0
90000,113,39,90,558,118,34,3.934,10,42,4.451,771,8,31,2030,68302,830,316,0,739,1533,0,65764,59,0,2001,0,0,0,0,0,0,0,68,0
100000,136,40,112,512,109,34,3.979,10,46,4.63,849,9,22,2284,77007,932,344,0,842,1788,0,74162,61,0,2246,0,0,0,0,0,0,0,56,0
110000,106,33,100,561,119,26,4.055,11,45,4.725,915,10,30,2563,84594,1025,364,0,928,1969,0,81470,61,0,2533,0,0,0,0,0,0,0,65,0
120000,100,38,95,567,105,32,4.38,11,47,4.826,975,10,27,2819,92931,1122,383,0,1014,2169,0,89533,63,0,2786,0,0,0,0,0,0,0,64,0
130000,131,35,89,545,106,29,4.23,11,46,4.839,1036,10,35,3079,100578,1213,399,0,1105,2411,0,96892,63,0,3054,0,0,0,0,0,0,0,63,0
140000,94,49,87,570,95,41,4.331,11,49,4.938,1100,10,29,3358,108343,1296,420,0,1185,2626,0,104351,66,0,3327,0,0,0,0,0,0,0,66,0
150000,109,39,76,576,104,32,4.441,11,51,5.066,1161,11,40,3615,115939,1391,444,0,1271,2821,0,111701,67,0,3595,0,0,0,0,0,0,0,66,0
