t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
10000,278,67,173,122,4,22,9.346,10,11,3.069,35,2,0,64,406,96,0,0,39,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,278,69,168,125,2,22,9.833,10,9,2.685,64,2,1,126,626,145,0,0,111,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,286,83,132,139,4,21,8.68,10,12,3.083,95,3,1,194,849,191,0,0,179,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,234,95,149,162,1,21,9.455,10,8,2.584,114,3,2,252,1038,243,0,0,232,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,233,87,170,150,6,23,8.241,10,12,3.232,154,3,1,319,1283,305,0,0,313,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,246,80,158,156,4,21,8.96,10,11,3.125,186,3,2,385,1490,360,0,0,397,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,225,87,164,164,3,20,9.652,10,7,2.486,216,3,1,443,1714,415,0,0,461,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,192,104,161,183,4,20,8.917,10,11,3.09,232,3,1,502,1866,469,0,0,512,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,218,109,142,171,0,19,9.842,10,7,2.55,257,4,2,559,2023,515,0,0,584,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,208,106,136,190,4,20,8.708,10,8,2.761,282,4,0,613,2167,554,0,0,639,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110000,247,93,140,160,3,21,8.583,10,10,2.749,321,5,1,671,2366,609,0,0,726,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,267,83,142,148,3,19,8.682,10,9,2.582,361,5,1,735,2580,664,0,0,812,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130000,292,85,127,136,1,16,9.353,10,7,2.486,386,5,3,775,2727,704,0,0,881,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,293,69,152,126,3,19,9.545,10,6,2.156,432,5,1,837,2980,766,0,0,973,1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150000,224,92,172,152,4,21,9.28,10,8,2.386,455,5,2,901,3206,835,0,0,1026,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
