t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
10000,298,66,146,130,5,23,8.321,10,14,3.41,32,1,0,55,315,78,0,0,28,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,311,66,135,128,4,19,8.652,10,8,2.767,62,3,1,123,517,132,0,0,106,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,282,79,144,135,4,22,8.808,10,8,2.545,98,3,0,177,719,187,0,0,174,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,270,82,131,157,3,20,8.783,10,9,2.74,119,3,0,236,873,223,0,0,228,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000,264,79,135,162,2,19,9.667,10,8,2.684,143,3,0,298,1059,274,0,0,289,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,285,74,137,144,2,19,9.333,10,7,2.452,174,3,0,347,1239,324,0,0,363,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,252,93,127,168,4,21,8.24,10,11,3.044,199,3,0,414,1417,371,0,0,412,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,253,81,140,166,1,22,9.696,10,9,2.784,222,3,1,470,1571,408,0,0,461,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,258,89,127,166,3,19,10,10,6,2.463,254,4,1,526,1763,458,0,0,530,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,210,107,134,189,2,24,8.423,10,12,3.302,276,4,1,592,1933,501,0,0,584,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110000,206,100,130,204,1,22,9.261,10,9,2.86,294,4,1,649,2085,547,0,0,639,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,235,82,144,179,5,21,9.077,10,7,2.593,332,6,0,699,2287,592,0,0,717,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130000,185,104,139,211,4,24,8.714,10,11,3.123,359,6,1,760,2467,647,0,0,771,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,176,102,136,226,2,24,9.962,10,7,2.55,381,6,1,816,2613,692,0,0,819,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150000,233,93,116,198,3,24,7.926,10,16,3.81,416,6,0,871,2766,735,0,0,900,1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
