t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits
20000,139,4,11,46,18,3,2.667,6,5,1.532,33,5,33,83,1852,4,1,0,9,14,0,1743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
40000,135,1,6,58,26,1,2.37,3,4,1.514,95,6,37,236,5887,14,3,0,39,56,0,5616,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
60000,140,3,6,51,22,3,2.24,4,4,1.242,159,8,36,365,9701,28,4,0,69,91,0,9279,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
80000,153,0,2,45,22,0,2.136,3,2,0.575,210,10,35,475,13430,43,5,0,89,112,0,12891,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199
100000,135,1,11,53,26,1,2.333,3,5,1.603,276,14,39,601,16921,56,8,0,120,150,0,16223,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241
120000,127,2,16,55,30,2,2.188,3,2,0.696,343,17,36,726,20668,65,10,0,144,179,0,19818,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292
140000,123,4,6,67,28,4,2.281,3,2,0.857,419,20,34,889,24761,76,10,0,176,217,0,23728,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354
160000,150,2,2,46,22,2,2,2,1,0,489,22,34,1027,28861,84,10,0,216,259,0,27685,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402
180000,142,2,4,52,26,2,2,2,2,0.371,570,26,38,1172,33259,94,12,0,251,294,0,31921,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446
200000,157,1,7,35,20,1,2,2,2,0.276,627,27,38,1271,36534,109,12,0,274,316,0,35079,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487
220000,158,0,6,36,21,0,2,2,1,0,700,27,37,1400,40064,117,14,0,306,347,0,38464,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529
240000,154,3,5,38,16,3,2.158,3,3,0.774,775,28,38,1540,43561,123,16,0,338,380,0,41805,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575
260000,129,0,10,61,32,0,2.219,3,3,0.947,851,31,34,1687,47378,130,17,0,365,408,0,45457,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624
280000,145,4,2,49,18,4,2.227,3,3,1.177,905,35,40,1798,51087,137,17,0,390,435,0,49034,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677
300000,147,1,3,49,21,1,2.364,3,2,0.946,972,37,39,1944,55124,145,18,0,419,468,0,52909,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734
320000,142,3,11,44,24,3,2.037,3,3,0.455,1050,40,38,2079,59135,156,19,0,458,510,0,56749,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782
340000,157,3,2,38,17,3,2,2,2,0.881,1135,42,35,2244,63324,164,22,0,491,543,0,60767,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843
360000,144,0,5,51,28,0,2,2,2,0.592,1213,44,35,2384,67126,179,23,0,523,575,0,64415,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882
380000,163,0,5,32,17,0,2.176,3,4,1.322,1280,45,39,2512,70636,187,26,0,557,606,0,67786,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928
400000,163,0,3,34,18,0,2.056,3,4,1.405,1343,47,40,2635,74049,195,28,0,582,632,0,71071,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969
420000,147,2,9,42,22,2,2.083,3,4,1.73,1403,49,37,2745,77343,202,29,0,603,654,0,74230,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008
440000,166,0,5,29,17,0,2,2,3,0.834,1467,52,38,2863,80812,207,29,0,635,686,0,77567,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055
