t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits
20000,149,3,18,30,12,2,3.214,6,8,2.842,16,2,38,56,1107,3,2,79,7,15,0,1024,0,0,0,0,1,2,5,2,0,0,0,0,37,81,0,0,0,27
40000,170,3,1,26,8,3,2.364,3,4,1.79,55,5,40,165,3495,11,4,111,27,46,0,3309,2,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,88
60000,200,0,0,0,0,0,0,0,0,0,63,6,40,182,4005,11,4,111,38,57,0,3803,2,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,102
80000,200,0,0,0,0,0,0,0,0,0,64,6,40,186,4008,11,4,111,39,58,0,3806,4,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,103
100000,200,0,0,0,0,0,0,0,0,0,66,6,40,190,4033,11,4,111,40,59,0,3831,6,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,104
120000,200,0,0,0,0,0,0,0,0,0,67,6,40,191,4045,11,4,111,41,60,0,3843,8,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,105
140000,200,0,0,0,0,0,0,0,0,0,67,6,40,191,4045,11,4,111,41,60,0,3843,8,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,105
160000,200,0,0,0,0,0,0,0,0,0,67,6,40,191,4045,11,4,111,41,60,0,3843,9,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,106
180000,200,0,0,0,0,0,0,0,0,0,67,6,40,191,4045,11,4,111,41,60,0,3843,9,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,106
200000,200,0,0,0,0,0,0,0,0,0,70,6,40,197,4100,11,4,111,42,61,0,3896,11,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,108
220000,198,0,0,2,1,0,2,2,1,0,70,6,39,199,4100,11,4,111,42,61,0,3896,12,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,108
